   dentity  pressure  energy
   0.100000E-01   0.114375E-01   0.941885E+01
   0.200000E-01   0.289499E-01   0.188590E+02
   0.300000E-01   0.661772E-01   0.283135E+02
   0.400000E-01   0.141844E+00   0.377833E+02
   0.500000E-01   0.267473E+00   0.472690E+02
   0.600000E-01   0.443495E+00   0.567708E+02
   0.700000E-01   0.661017E+00   0.662901E+02
   0.800000E-01   0.906473E+00   0.758275E+02
   0.900000E-01   0.116641E+01   0.853815E+02
   0.100000E+00   0.143171E+01   0.949547E+02
   0.110000E+00   0.169831E+01   0.104548E+03
   0.120000E+00   0.196303E+01   0.114162E+03
   0.130000E+00   0.223265E+01   0.123799E+03
   0.140000E+00   0.252223E+01   0.133460E+03
   0.150000E+00   0.247335E+01   0.143137E+03
   0.160000E+00   0.222291E+01   0.152805E+03
   0.170000E+00   0.193939E+01   0.162457E+03
   0.180000E+00   0.165578E+01   0.172099E+03
   0.190000E+00   0.139876E+01   0.181726E+03
   0.200000E+00   0.119417E+01   0.191350E+03
   0.210000E+00   0.106759E+01   0.200970E+03
   0.220000E+00   0.104613E+01   0.210595E+03
   0.230000E+00   0.115715E+01   0.220229E+03
   0.240000E+00   0.142497E+01   0.229879E+03
   0.250000E+00   0.187369E+01   0.239555E+03
   0.260000E+00   0.252612E+01   0.249262E+03
   0.270000E+00   0.340342E+01   0.259005E+03
   0.280000E+00   0.452531E+01   0.268798E+03
   0.290000E+00   0.589410E+01   0.278643E+03
   0.300000E+00   0.729489E+01   0.288545E+03
   0.310000E+00   0.886260E+01   0.298505E+03
   0.320000E+00   0.106765E+02   0.308527E+03
   0.330000E+00   0.127737E+02   0.318618E+03
   0.340000E+00   0.151802E+02   0.328784E+03
   0.350000E+00   0.179112E+02   0.339032E+03
   0.360000E+00   0.209774E+02   0.349370E+03
   0.370000E+00   0.243808E+02   0.359806E+03
   0.380000E+00   0.280710E+02   0.370345E+03
   0.390000E+00   0.319223E+02   0.380994E+03
   0.400000E+00   0.360725E+02   0.391750E+03
   0.410000E+00   0.405508E+02   0.402620E+03
   0.420000E+00   0.453755E+02   0.413621E+03
   0.430000E+00   0.500528E+02   0.424722E+03
   0.440000E+00   0.546285E+02   0.435942E+03
   0.450000E+00   0.593053E+02   0.447274E+03
   0.460000E+00   0.640985E+02   0.458714E+03
   0.470000E+00   0.690185E+02   0.470241E+03
   0.480000E+00   0.740812E+02   0.481900E+03
   0.490000E+00   0.792871E+02   0.493685E+03
   0.500000E+00   0.846112E+02   0.505540E+03
   0.510000E+00   0.900860E+02   0.517527E+03
   0.520000E+00   0.956756E+02   0.529635E+03
   0.530000E+00   0.101385E+03   0.541817E+03
   0.540000E+00   0.107225E+03   0.554158E+03
   0.550000E+00   0.113202E+03   0.566586E+03
   0.560000E+00   0.119282E+03   0.579094E+03
   0.570000E+00   0.125493E+03   0.591765E+03
   0.580000E+00   0.131821E+03   0.604502E+03
   0.590000E+00   0.138272E+03   0.617382E+03
   0.600000E+00   0.144831E+03   0.630346E+03
   0.610000E+00   0.151515E+03   0.643438E+03
   0.620000E+00   0.158321E+03   0.656660E+03
   0.630000E+00   0.165204E+03   0.669943E+03
   0.640000E+00   0.172214E+03   0.683383E+03
   0.650000E+00   0.177382E+03   0.696918E+03
   0.660000E+00   0.182555E+03   0.710519E+03
   0.670000E+00   0.187838E+03   0.724147E+03
   0.680000E+00   0.193288E+03   0.737917E+03
   0.690000E+00   0.198916E+03   0.751788E+03
   0.700000E+00   0.204661E+03   0.765696E+03
   0.710000E+00   0.210553E+03   0.779721E+03
   0.720000E+00   0.216591E+03   0.793805E+03
   0.730000E+00   0.222767E+03   0.807995E+03
   0.740000E+00   0.229090E+03   0.822231E+03
   0.750000E+00   0.235534E+03   0.836529E+03
   0.760000E+00   0.242128E+03   0.850976E+03
   0.770000E+00   0.248850E+03   0.865488E+03
   0.780000E+00   0.255750E+03   0.880163E+03
   0.790000E+00   0.262713E+03   0.894783E+03
   0.800000E+00   0.269844E+03   0.909590E+03
   0.810000E+00   0.277121E+03   0.924530E+03
