   dentity  pressure  energy
   0.100000E-01   0.114375E-01   0.941885E+01
   0.200000E-01   0.289499E-01   0.188590E+02
   0.300000E-01   0.661772E-01   0.283135E+02
   0.400000E-01   0.141844E+00   0.377833E+02
   0.500000E-01   0.267473E+00   0.472690E+02
   0.600000E-01   0.443495E+00   0.567708E+02
   0.700000E-01   0.661017E+00   0.662901E+02
   0.800000E-01   0.906473E+00   0.758275E+02
   0.900000E-01   0.116655E+01   0.853823E+02
   0.100000E+00   0.143171E+01   0.949547E+02
   0.110000E+00   0.169831E+01   0.104548E+03
   0.120000E+00   0.196303E+01   0.114162E+03
   0.130000E+00   0.223265E+01   0.123799E+03
   0.140000E+00   0.252213E+01   0.133459E+03
   0.150000E+00   0.247336E+01   0.143138E+03
   0.160000E+00   0.222291E+01   0.152805E+03
   0.170000E+00   0.193943E+01   0.162457E+03
   0.180000E+00   0.165574E+01   0.172099E+03
   0.190000E+00   0.139877E+01   0.181726E+03
   0.200000E+00   0.119412E+01   0.191349E+03
   0.210000E+00   0.106770E+01   0.200970E+03
   0.220000E+00   0.104603E+01   0.210595E+03
   0.230000E+00   0.115723E+01   0.220231E+03
   0.240000E+00   0.142511E+01   0.229882E+03
   0.250000E+00   0.187375E+01   0.239555E+03
   0.260000E+00   0.252605E+01   0.249265E+03
   0.270000E+00   0.340341E+01   0.259005E+03
   0.280000E+00   0.452515E+01   0.268797E+03
   0.290000E+00   0.589376E+01   0.278645E+03
   0.300000E+00   0.729498E+01   0.288545E+03
   0.310000E+00   0.886372E+01   0.298511E+03
   0.320000E+00   0.106759E+02   0.308528E+03
   0.330000E+00   0.127733E+02   0.318614E+03
   0.340000E+00   0.151782E+02   0.328778E+03
   0.350000E+00   0.179129E+02   0.339037E+03
   0.360000E+00   0.209766E+02   0.349369E+03
   0.370000E+00   0.243844E+02   0.359819E+03
   0.380000E+00   0.280691E+02   0.370351E+03
   0.390000E+00   0.319229E+02   0.380990E+03
   0.400000E+00   0.360720E+02   0.391751E+03
   0.410000E+00   0.405516E+02   0.402616E+03
   0.420000E+00   0.453723E+02   0.413611E+03
   0.430000E+00   0.500500E+02   0.424716E+03
   0.440000E+00   0.546293E+02   0.435941E+03
   0.450000E+00   0.593019E+02   0.447269E+03
   0.460000E+00   0.640953E+02   0.458714E+03
   0.470000E+00   0.690228E+02   0.470256E+03
   0.480000E+00   0.740838E+02   0.481914E+03
   0.490000E+00   0.792820E+02   0.493673E+03
   0.500000E+00   0.846130E+02   0.505540E+03
   0.510000E+00   0.900820E+02   0.517525E+03
   0.520000E+00   0.956702E+02   0.529615E+03
   0.530000E+00   0.101392E+03   0.541855E+03
   0.540000E+00   0.107219E+03   0.554124E+03
   0.550000E+00   0.113197E+03   0.566568E+03
   0.560000E+00   0.119288E+03   0.579122E+03
   0.570000E+00   0.125489E+03   0.591746E+03
   0.580000E+00   0.131820E+03   0.604500E+03
   0.590000E+00   0.138262E+03   0.617355E+03
   0.600000E+00   0.144826E+03   0.630340E+03
   0.610000E+00   0.151516E+03   0.643440E+03
   0.620000E+00   0.158318E+03   0.656661E+03
   0.630000E+00   0.165218E+03   0.669981E+03
   0.640000E+00   0.172229E+03   0.683402E+03
   0.650000E+00   0.179339E+03   0.696881E+03
   0.660000E+00   0.186585E+03   0.710569E+03
   0.670000E+00   0.193921E+03   0.724320E+03
   0.680000E+00   0.201357E+03   0.738154E+03
   0.690000E+00   0.208914E+03   0.752168E+03
   0.700000E+00   0.216275E+03   0.766227E+03
   0.710000E+00   0.223335E+03   0.780378E+03
   0.720000E+00   0.230410E+03   0.794636E+03
   0.730000E+00   0.237560E+03   0.809096E+03
   0.740000E+00   0.244741E+03   0.823594E+03
   0.750000E+00   0.251967E+03   0.838122E+03
   0.760000E+00   0.259299E+03   0.852823E+03
   0.770000E+00   0.266705E+03   0.867651E+03
   0.780000E+00   0.274173E+03   0.882480E+03
   0.790000E+00   0.281708E+03   0.897479E+03
   0.800000E+00   0.289309E+03   0.912450E+03
   0.810000E+00   0.297007E+03   0.927635E+03
