 dentity  pressure  energy
   0.100000E-01   0.114295E-01   0.941903E+01
   0.200000E-01   0.264826E-01   0.188580E+02
   0.300000E-01   0.554418E-01   0.283096E+02
   0.400000E-01   0.116497E+00   0.377734E+02
   0.500000E-01   0.224787E+00   0.472515E+02
   0.600000E-01   0.387151E+00   0.567433E+02
   0.700000E-01   0.601052E+00   0.662525E+02
   0.800000E-01   0.856366E+00   0.757780E+02
   0.900000E-01   0.113921E+01   0.853229E+02
   0.100000E+00   0.143561E+01   0.948864E+02
   0.110000E+00   0.173489E+01   0.104472E+03
   0.120000E+00   0.203005E+01   0.114079E+03
   0.130000E+00   0.231471E+01   0.123712E+03
   0.140000E+00   0.259887E+01   0.133372E+03
   0.150000E+00   0.289461E+01   0.143061E+03
   0.160000E+00   0.321693E+01   0.152783E+03
   0.170000E+00   0.358314E+01   0.162541E+03
   0.180000E+00   0.401233E+01   0.172339E+03
   0.190000E+00   0.452366E+01   0.182181E+03
   0.200000E+00   0.513707E+01   0.192074E+03
   0.210000E+00   0.587171E+01   0.202023E+03
   0.220000E+00   0.674466E+01   0.212025E+03
   0.230000E+00   0.777386E+01   0.222094E+03
   0.240000E+00   0.897449E+01   0.232232E+03
   0.250000E+00   0.103600E+02   0.242440E+03
   0.260000E+00   0.119437E+02   0.252730E+03
   0.270000E+00   0.137360E+02   0.263101E+03
   0.280000E+00   0.157455E+02   0.273556E+03
   0.290000E+00   0.179817E+02   0.284104E+03
   0.300000E+00   0.204514E+02   0.294752E+03
   0.310000E+00   0.231584E+02   0.305496E+03
   0.320000E+00   0.261088E+02   0.316348E+03
   0.330000E+00   0.288235E+02   0.327300E+03
   0.340000E+00   0.314074E+02   0.338339E+03
   0.350000E+00   0.340491E+02   0.349462E+03
   0.360000E+00   0.367815E+02   0.360664E+03
   0.370000E+00   0.396180E+02   0.371954E+03
   0.380000E+00   0.425638E+02   0.383323E+03
   0.390000E+00   0.453877E+02   0.394774E+03
   0.400000E+00   0.481812E+02   0.406297E+03
   0.410000E+00   0.510616E+02   0.417891E+03
   0.420000E+00   0.540393E+02   0.429550E+03
   0.430000E+00   0.570944E+02   0.441297E+03
   0.440000E+00   0.601943E+02   0.453114E+03
   0.450000E+00   0.633863E+02   0.465000E+03
   0.460000E+00   0.666845E+02   0.476958E+03
   0.470000E+00   0.700961E+02   0.488987E+03
   0.480000E+00   0.736169E+02   0.501093E+03
   0.490000E+00   0.772577E+02   0.513281E+03
   0.500000E+00   0.810070E+02   0.525516E+03
   0.510000E+00   0.848767E+02   0.537855E+03
   0.520000E+00   0.888650E+02   0.550272E+03
   0.530000E+00   0.929654E+02   0.562768E+03
   0.540000E+00   0.971785E+02   0.575323E+03
   0.550000E+00   0.101510E+03   0.587948E+03
   0.560000E+00   0.105960E+03   0.600692E+03
   0.570000E+00   0.110526E+03   0.613499E+03
   0.580000E+00   0.115204E+03   0.626379E+03
   0.590000E+00   0.119992E+03   0.639324E+03
   0.600000E+00   0.124900E+03   0.652377E+03
   0.610000E+00   0.129919E+03   0.665523E+03
   0.620000E+00   0.135043E+03   0.678709E+03
   0.630000E+00   0.140285E+03   0.692011E+03
   0.640000E+00   0.145642E+03   0.705399E+03
   0.650000E+00   0.151103E+03   0.718845E+03
   0.660000E+00   0.156688E+03   0.732410E+03
   0.670000E+00   0.162372E+03   0.746038E+03
   0.680000E+00   0.168164E+03   0.759750E+03
   0.690000E+00   0.174072E+03   0.773541E+03
   0.700000E+00   0.180089E+03   0.787423E+03
   0.710000E+00   0.186210E+03   0.801424E+03
   0.720000E+00   0.192427E+03   0.815443E+03
   0.730000E+00   0.198771E+03   0.829592E+03
   0.740000E+00   0.205216E+03   0.843818E+03
   0.750000E+00   0.211773E+03   0.858167E+03
   0.760000E+00   0.218423E+03   0.872569E+03
   0.770000E+00   0.225201E+03   0.887094E+03
