   dentity  pressure  energy
   0.100000E-01   0.117986E-01   0.942514E+01
   0.200000E-01   0.305065E-01   0.188722E+02
   0.300000E-01   0.711306E-01   0.283345E+02
   0.400000E-01   0.152971E+00   0.378113E+02
   0.500000E-01   0.285619E+00   0.473032E+02
   0.600000E-01   0.465458E+00   0.568108E+02
   0.700000E-01   0.679067E+00   0.663342E+02
   0.800000E-01   0.909566E+00   0.758726E+02
   0.900000E-01   0.114254E+01   0.854262E+02
   0.100000E+00   0.136966E+01   0.949959E+02
   0.110000E+00   0.159004E+01   0.104585E+03
   0.120000E+00   0.180504E+01   0.114192E+03
   0.130000E+00   0.202540E+01   0.123818E+03
   0.140000E+00   0.226991E+01   0.133469E+03
   0.150000E+00   0.255758E+01   0.143148E+03
   0.160000E+00   0.290834E+01   0.152857E+03
   0.170000E+00   0.334249E+01   0.162599E+03
   0.180000E+00   0.388076E+01   0.172384E+03
   0.190000E+00   0.454263E+01   0.182214E+03
   0.200000E+00   0.534659E+01   0.192092E+03
   0.210000E+00   0.631101E+01   0.202025E+03
   0.220000E+00   0.745218E+01   0.212022E+03
   0.230000E+00   0.878509E+01   0.222085E+03
   0.240000E+00   0.103232E+02   0.232220E+03
   0.250000E+00   0.120790E+02   0.242435E+03
   0.260000E+00   0.140635E+02   0.252735E+03
   0.270000E+00   0.162848E+02   0.263122E+03
   0.280000E+00   0.187514E+02   0.273606E+03
   0.290000E+00   0.214684E+02   0.284185E+03
   0.300000E+00   0.244439E+02   0.294878E+03
   0.310000E+00   0.276783E+02   0.305676E+03
   0.320000E+00   0.311761E+02   0.316590E+03
   0.330000E+00   0.345733E+02   0.327620E+03
   0.340000E+00   0.370952E+02   0.338743E+03
   0.350000E+00   0.395862E+02   0.349938E+03
   0.360000E+00   0.421598E+02   0.361209E+03
   0.370000E+00   0.448502E+02   0.372555E+03
   0.380000E+00   0.476717E+02   0.383973E+03
   0.390000E+00   0.506361E+02   0.395481E+03
   0.400000E+00   0.537468E+02   0.407057E+03
   0.410000E+00   0.570047E+02   0.418720E+03
   0.420000E+00   0.604138E+02   0.430464E+03
   0.430000E+00   0.639705E+02   0.442284E+03
   0.440000E+00   0.676212E+02   0.454190E+03
   0.450000E+00   0.713417E+02   0.466192E+03
   0.460000E+00   0.751821E+02   0.478262E+03
   0.470000E+00   0.791416E+02   0.490413E+03
   0.480000E+00   0.832275E+02   0.502657E+03
   0.490000E+00   0.874390E+02   0.515003E+03
   0.500000E+00   0.917677E+02   0.527404E+03
   0.510000E+00   0.962154E+02   0.539897E+03
   0.520000E+00   0.100785E+03   0.552483E+03
   0.530000E+00   0.105482E+03   0.565205E+03
   0.540000E+00   0.110284E+03   0.577961E+03
   0.550000E+00   0.115209E+03   0.590822E+03
   0.560000E+00   0.120245E+03   0.603796E+03
   0.570000E+00   0.125398E+03   0.616862E+03
   0.580000E+00   0.130661E+03   0.630009E+03
   0.590000E+00   0.136029E+03   0.643224E+03
   0.600000E+00   0.141513E+03   0.656559E+03
   0.610000E+00   0.147101E+03   0.669957E+03
   0.620000E+00   0.152795E+03   0.683480E+03
   0.630000E+00   0.158598E+03   0.697077E+03
   0.640000E+00   0.164502E+03   0.710758E+03
   0.650000E+00   0.170504E+03   0.724524E+03
   0.660000E+00   0.176608E+03   0.738378E+03
   0.670000E+00   0.182844E+03   0.752407E+03
   0.680000E+00   0.189158E+03   0.766455E+03
   0.690000E+00   0.195587E+03   0.780626E+03
   0.700000E+00   0.202104E+03   0.794854E+03
   0.710000E+00   0.208734E+03   0.809184E+03
   0.720000E+00   0.215468E+03   0.823638E+03
   0.730000E+00   0.222304E+03   0.838153E+03
   0.740000E+00   0.229235E+03   0.852753E+03
   0.750000E+00   0.236281E+03   0.867468E+03
   0.760000E+00   0.243440E+03   0.882294E+03
   0.770000E+00   0.250673E+03   0.897166E+03
   0.780000E+00   0.258048E+03   0.912206E+03
   0.790000E+00   0.265506E+03   0.927332E+03
   0.800000E+00   0.273046E+03   0.942486E+03
   0.810000E+00   0.280720E+03   0.957816E+03
   0.820000E+00   0.288462E+03   0.973146E+03
   0.830000E+00   0.296326E+03   0.988647E+03
   0.840000E+00   0.304279E+03   0.100418E+04
   0.850000E+00   0.312342E+03   0.101985E+04
   0.860000E+00   0.320508E+03   0.103561E+04
   0.870000E+00   0.328754E+03   0.105145E+04
   0.880000E+00   0.337126E+03   0.106741E+04
   0.890000E+00   0.345604E+03   0.108346E+04
