 dentity  pressure  energy
   0.100000E-01   0.118884E-01   0.122043E-01   0.941952E+01
   0.200000E-01   0.309027E-01   0.315119E-01   0.188610E+02
   0.300000E-01   0.720198E-01   0.729093E-01   0.283181E+02
   0.400000E-01   0.154473E+00   0.155644E+00   0.377900E+02
   0.500000E-01   0.287786E+00   0.289214E+00   0.472770E+02
   0.600000E-01   0.468295E+00   0.469999E+00   0.567796E+02
   0.700000E-01   0.682553E+00   0.684500E+00   0.662981E+02
   0.800000E-01   0.913709E+00   0.915906E+00   0.758325E+02
   0.900000E-01   0.114731E+01   0.114977E+01   0.853815E+02
   0.100000E+00   0.137511E+01   0.137780E+01   0.949471E+02
   0.110000E+00   0.159617E+01   0.159911E+01   0.104530E+03
   0.120000E+00   0.181346E+01   0.181663E+01   0.114133E+03
   0.130000E+00   0.203550E+01   0.203893E+01   0.123757E+03
   0.140000E+00   0.228155E+01   0.228523E+01   0.133405E+03
   0.150000E+00   0.257068E+01   0.257460E+01   0.143078E+03
   0.160000E+00   0.292331E+01   0.292746E+01   0.152786E+03
   0.170000E+00   0.335942E+01   0.336381E+01   0.162524E+03
   0.180000E+00   0.389990E+01   0.390452E+01   0.172307E+03
   0.190000E+00   0.456392E+01   0.456879E+01   0.182131E+03
   0.200000E+00   0.537090E+01   0.537602E+01   0.192009E+03
   0.210000E+00   0.633802E+01   0.634335E+01   0.201940E+03
   0.220000E+00   0.748188E+01   0.748752E+01   0.211932E+03
   0.230000E+00   0.881840E+01   0.882421E+01   0.221996E+03
   0.240000E+00   0.103601E+02   0.103661E+02   0.232129E+03
   0.250000E+00   0.121188E+02   0.121252E+02   0.242339E+03
   0.260000E+00   0.141062E+02   0.141128E+02   0.252634E+03
   0.270000E+00   0.163314E+02   0.163382E+02   0.263022E+03
   0.280000E+00   0.188022E+02   0.188092E+02   0.273506E+03
   0.290000E+00   0.215234E+02   0.215307E+02   0.284087E+03
   0.300000E+00   0.245015E+02   0.245090E+02   0.294775E+03
   0.310000E+00   0.277401E+02   0.277478E+02   0.305574E+03
   0.320000E+00   0.312400E+02   0.312481E+02   0.316483E+03
   0.330000E+00   0.347083E+02   0.347203E+02   0.327515E+03
   0.340000E+00   0.378116E+02   0.378185E+02   0.338646E+03
   0.350000E+00   0.409263E+02   0.409335E+02   0.349870E+03
   0.360000E+00   0.441103E+02   0.441215E+02   0.361188E+03
   0.370000E+00   0.473830E+02   0.473958E+02   0.372596E+03
   0.380000E+00   0.507076E+02   0.507199E+02   0.384094E+03
   0.390000E+00   0.537753E+02   0.537858E+02   0.395672E+03
   0.400000E+00   0.568983E+02   0.569121E+02   0.407346E+03
   0.410000E+00   0.601098E+02   0.601230E+02   0.419092E+03
   0.420000E+00   0.634157E+02   0.634358E+02   0.430909E+03
   0.430000E+00   0.668279E+02   0.668340E+02   0.442808E+03
   0.440000E+00   0.703287E+02   0.703371E+02   0.454789E+03
   0.450000E+00   0.738824E+02   0.738901E+02   0.466855E+03
   0.460000E+00   0.775339E+02   0.775424E+02   0.478988E+03
   0.470000E+00   0.812955E+02   0.813074E+02   0.491222E+03
   0.480000E+00   0.851655E+02   0.851808E+02   0.503509E+03
   0.490000E+00   0.891539E+02   0.891665E+02   0.515904E+03
   0.500000E+00   0.932599E+02   0.932651E+02   0.528372E+03
   0.510000E+00   0.974766E+02   0.975005E+02   0.540920E+03
   0.520000E+00   0.101815E+03   0.101835E+03   0.553550E+03
   0.530000E+00   0.106277E+03   0.106282E+03   0.566279E+03
   0.540000E+00   0.110846E+03   0.110861E+03   0.579079E+03
   0.550000E+00   0.115535E+03   0.115568E+03   0.591970E+03
   0.560000E+00   0.120346E+03   0.120362E+03   0.604952E+03
   0.570000E+00   0.125272E+03   0.125280E+03   0.618011E+03
   0.580000E+00   0.130314E+03   0.130335E+03   0.631167E+03
   0.590000E+00   0.135466E+03   0.135482E+03   0.644362E+03
   0.600000E+00   0.140738E+03   0.140778E+03   0.657712E+03
   0.610000E+00   0.146130E+03   0.146162E+03   0.671120E+03
   0.620000E+00   0.151640E+03   0.151648E+03   0.684623E+03
   0.630000E+00   0.157254E+03   0.157287E+03   0.698217E+03
   0.640000E+00   0.162989E+03   0.163001E+03   0.711876E+03
   0.650000E+00   0.168831E+03   0.168856E+03   0.725653E+03
   0.660000E+00   0.174797E+03   0.174832E+03   0.739528E+03
   0.670000E+00   0.180874E+03   0.180900E+03   0.753461E+03
   0.680000E+00   0.187058E+03   0.187080E+03   0.767494E+03
   0.690000E+00   0.193360E+03   0.193390E+03   0.781654E+03
   0.700000E+00   0.199776E+03   0.199827E+03   0.795879E+03
   0.710000E+00   0.206300E+03   0.206328E+03   0.810189E+03
   0.720000E+00   0.212942E+03   0.212948E+03   0.824604E+03
   0.730000E+00   0.219692E+03   0.219726E+03   0.839124E+03
   0.740000E+00   0.226562E+03   0.226575E+03   0.853742E+03
   0.750000E+00   0.233521E+03   0.233555E+03   0.868424E+03
   0.760000E+00   0.240601E+03   0.240634E+03   0.883189E+03
   0.770000E+00   0.247783E+03   0.247817E+03   0.898022E+03
   0.780000E+00   0.255094E+03   0.255157E+03   0.913028E+03
   0.790000E+00   0.262514E+03   0.262542E+03   0.928107E+03
   0.800000E+00   0.270035E+03   0.270042E+03   0.943263E+03
   0.810000E+00   0.277664E+03   0.277690E+03   0.958502E+03
   0.820000E+00   0.285391E+03   0.285445E+03   0.973844E+03
   0.830000E+00   0.293265E+03   0.293296E+03   0.989312E+03
   0.840000E+00   0.301221E+03   0.301258E+03   0.100487E+04
   0.850000E+00   0.309297E+03   0.309309E+03   0.102048E+04
   0.860000E+00   0.317472E+03   0.317497E+03   0.103620E+04
   0.870000E+00   0.325771E+03   0.325778E+03   0.105203E+04
   0.880000E+00   0.334143E+03   0.334163E+03   0.106791E+04
   0.890000E+00   0.342651E+03   0.342718E+03   0.108394E+04
   0.900000E+00   0.351254E+03   0.351317E+03   0.110005E+04
   0.910000E+00   0.359979E+03   0.360038E+03   0.111627E+04
   0.920000E+00   0.368799E+03   0.368830E+03   0.113254E+04
   0.930000E+00   0.377743E+03   0.377772E+03   0.114902E+04
   0.940000E+00   0.386747E+03   0.386784E+03   0.116543E+04
   0.950000E+00   0.395899E+03   0.395966E+03   0.118207E+04
   0.960000E+00   0.405144E+03   0.405203E+03   0.119876E+04
   0.970000E+00   0.414491E+03   0.414567E+03   0.121555E+04
   0.980000E+00   0.423968E+03   0.424005E+03   0.123246E+04
   0.990000E+00   0.433495E+03   0.433527E+03   0.124935E+04
   0.100000E+01   0.443167E+03   0.443201E+03   0.126643E+04
   0.101000E+01   0.452935E+03   0.453025E+03   0.128365E+04
   0.102000E+01   0.462840E+03   0.462809E+03   0.130093E+04
   0.103000E+01   0.472804E+03   0.472860E+03   0.131832E+04
   0.104000E+01   0.482866E+03   0.482934E+03   0.133574E+04
   0.105000E+01   0.493050E+03   0.493100E+03   0.135331E+04
   0.106000E+01   0.503330E+03   0.503371E+03   0.137094E+04
   0.107000E+01   0.513711E+03   0.513788E+03   0.138870E+04
   0.108000E+01   0.524197E+03   0.524240E+03   0.140653E+04
   0.109000E+01   0.534823E+03   0.534902E+03   0.142453E+04
   0.110000E+01   0.545572E+03   0.545602E+03   0.144265E+04
   0.111000E+01   0.556325E+03   0.556436E+03   0.146074E+04
   0.112000E+01   0.567251E+03   0.567288E+03   0.147900E+04
   0.113000E+01   0.578275E+03   0.578316E+03   0.149737E+04
   0.114000E+01   0.589374E+03   0.589412E+03   0.151580E+04
   0.115000E+01   0.600581E+03   0.600618E+03   0.153431E+04
   0.116000E+01   0.611796E+03   0.611818E+03   0.155295E+04
   0.117000E+01   0.622882E+03   0.622927E+03   0.157165E+04
   0.118000E+01   0.633997E+03   0.633930E+03   0.159051E+04
   0.119000E+01   0.645131E+03   0.645156E+03   0.160943E+04
   0.120000E+01   0.656326E+03   0.656272E+03   0.162841E+04
   0.121000E+01   0.667551E+03   0.667572E+03   0.164745E+04
   0.122000E+01   0.678935E+03   0.678995E+03   0.166682E+04
   0.123000E+01   0.690358E+03   0.690404E+03   0.168613E+04
   0.124000E+01   0.701814E+03   0.701863E+03   0.170549E+04
   0.125000E+01   0.713337E+03   0.713358E+03   0.172482E+04
   0.126000E+01   0.725044E+03   0.724972E+03   0.174451E+04
   0.127000E+01   0.736731E+03   0.736825E+03   0.176420E+04
   0.128000E+01   0.748567E+03   0.748554E+03   0.178394E+04
   0.129000E+01   0.760447E+03   0.760505E+03   0.180383E+04
   0.130000E+01   0.772370E+03   0.772413E+03   0.182364E+04
   0.131000E+01   0.784458E+03   0.784485E+03   0.184373E+04
   0.132000E+01   0.796585E+03   0.796627E+03   0.186384E+04
   0.133000E+01   0.808873E+03   0.808904E+03   0.188415E+04
   0.134000E+01   0.821122E+03   0.821149E+03   0.190434E+04
   0.135000E+01   0.833473E+03   0.833564E+03   0.192466E+04
   0.136000E+01   0.845986E+03   0.846139E+03   0.194524E+04
   0.137000E+01   0.858619E+03   0.858506E+03   0.196586E+04
   0.138000E+01   0.871330E+03   0.871228E+03   0.198660E+04
   0.139000E+01   0.883958E+03   0.884176E+03   0.200726E+04
   0.140000E+01   0.896799E+03   0.897004E+03   0.202813E+04
