   dentity  pressure  energy
   0.500000E-02   0.486560E-02   0.470545E+01
   0.100000E-01   0.114375E-01   0.941885E+01
   0.150000E-01   0.189321E-01   0.141371E+02
   0.200000E-01   0.289498E-01   0.188590E+02
   0.250000E-01   0.438517E-01   0.235843E+02
   0.300000E-01   0.661772E-01   0.283135E+02
   0.350000E-01   0.982396E-01   0.330466E+02
   0.400000E-01   0.141844E+00   0.377833E+02
   0.450000E-01   0.198124E+00   0.425239E+02
   0.500000E-01   0.267473E+00   0.472690E+02
   0.550000E-01   0.349534E+00   0.520177E+02
   0.600000E-01   0.443495E+00   0.567708E+02
   0.650000E-01   0.547885E+00   0.615290E+02
   0.700000E-01   0.661017E+00   0.662901E+02
   0.750000E-01   0.781142E+00   0.710565E+02
   0.800000E-01   0.906473E+00   0.758275E+02
   0.850000E-01   0.103537E+01   0.806022E+02
   0.900000E-01   0.116650E+01   0.853824E+02
   0.950000E-01   0.129887E+01   0.901666E+02
   0.100000E+00   0.143171E+01   0.949547E+02
   0.105000E+00   0.156486E+01   0.997492E+02
   0.110000E+00   0.169831E+01   0.104548E+03
   0.115000E+00   0.183124E+01   0.109352E+03
   0.120000E+00   0.196303E+01   0.114162E+03
   0.125000E+00   0.209629E+01   0.118978E+03
   0.130000E+00   0.223265E+01   0.123799E+03
   0.135000E+00   0.237405E+01   0.128627E+03
   0.140000E+00   0.252212E+01   0.133459E+03
   0.145000E+00   0.267930E+01   0.138301E+03
   0.150000E+00   0.284730E+01   0.143148E+03
   0.155000E+00   0.302845E+01   0.148004E+03
   0.160000E+00   0.322479E+01   0.152867E+03
   0.165000E+00   0.343879E+01   0.157738E+03
   0.170000E+00   0.367276E+01   0.162621E+03
   0.175000E+00   0.392879E+01   0.167512E+03
   0.180000E+00   0.420947E+01   0.172415E+03
   0.185000E+00   0.451648E+01   0.177325E+03
   0.190000E+00   0.485271E+01   0.182250E+03
   0.195000E+00   0.522010E+01   0.187187E+03
   0.200000E+00   0.562041E+01   0.192133E+03
   0.205000E+00   0.605622E+01   0.197094E+03
   0.210000E+00   0.652941E+01   0.202068E+03
   0.215000E+00   0.704223E+01   0.207060E+03
   0.220000E+00   0.759603E+01   0.212064E+03
   0.225000E+00   0.819325E+01   0.217086E+03
   0.230000E+00   0.883502E+01   0.222123E+03
   0.235000E+00   0.952302E+01   0.227175E+03
   0.240000E+00   0.102596E+02   0.232248E+03
   0.245000E+00   0.110455E+02   0.237337E+03
   0.250000E+00   0.118823E+02   0.242444E+03
   0.255000E+00   0.127721E+02   0.247575E+03
   0.260000E+00   0.137153E+02   0.252724E+03
   0.265000E+00   0.147131E+02   0.257893E+03
   0.270000E+00   0.157669E+02   0.263086E+03
   0.275000E+00   0.168781E+02   0.268299E+03
   0.280000E+00   0.180472E+02   0.273537E+03
   0.285000E+00   0.192750E+02   0.278798E+03
   0.290000E+00   0.203015E+02   0.284079E+03
   0.295000E+00   0.211255E+02   0.289378E+03
   0.300000E+00   0.219466E+02   0.294693E+03
   0.305000E+00   0.227932E+02   0.300021E+03
   0.310000E+00   0.236782E+02   0.305367E+03
   0.315000E+00   0.246084E+02   0.310727E+03
   0.320000E+00   0.255885E+02   0.316107E+03
   0.325000E+00   0.266236E+02   0.321498E+03
   0.330000E+00   0.277167E+02   0.326913E+03
   0.335000E+00   0.288711E+02   0.332342E+03
   0.340000E+00   0.300878E+02   0.337793E+03
   0.345000E+00   0.312780E+02   0.343258E+03
   0.350000E+00   0.324337E+02   0.348752E+03
   0.355000E+00   0.336036E+02   0.354244E+03
   0.360000E+00   0.348053E+02   0.359775E+03
   0.365000E+00   0.360387E+02   0.365313E+03
   0.370000E+00   0.373078E+02   0.370870E+03
   0.375000E+00   0.386152E+02   0.376442E+03
   0.380000E+00   0.399602E+02   0.382030E+03
   0.385000E+00   0.413471E+02   0.387645E+03
   0.390000E+00   0.427733E+02   0.393269E+03
   0.395000E+00   0.442402E+02   0.398920E+03
   0.400000E+00   0.457504E+02   0.404596E+03
   0.405000E+00   0.472999E+02   0.410282E+03
   0.410000E+00   0.488912E+02   0.415993E+03
   0.415000E+00   0.505208E+02   0.421712E+03
   0.420000E+00   0.521939E+02   0.427466E+03
   0.425000E+00   0.539093E+02   0.433233E+03
   0.430000E+00   0.556626E+02   0.439018E+03
   0.435000E+00   0.574565E+02   0.444833E+03
   0.440000E+00   0.592955E+02   0.450673E+03
   0.445000E+00   0.611682E+02   0.456521E+03
   0.450000E+00   0.630822E+02   0.462398E+03
   0.455000E+00   0.650356E+02   0.468293E+03
   0.460000E+00   0.670284E+02   0.474214E+03
   0.465000E+00   0.690597E+02   0.480153E+03
   0.470000E+00   0.711303E+02   0.486122E+03
   0.475000E+00   0.732350E+02   0.492097E+03
   0.480000E+00   0.753793E+02   0.498103E+03
   0.485000E+00   0.775628E+02   0.504137E+03
   0.490000E+00   0.797791E+02   0.510184E+03
   0.495000E+00   0.820375E+02   0.516263E+03
   0.500000E+00   0.843306E+02   0.522371E+03
   0.505000E+00   0.866601E+02   0.528496E+03
   0.510000E+00   0.890216E+02   0.534642E+03
   0.515000E+00   0.914194E+02   0.540810E+03
   0.520000E+00   0.938492E+02   0.546991E+03
   0.525000E+00   0.963240E+02   0.553230E+03
