 dentity  pressure  energy
   0.100000E-01   0.116641E-01   0.942460E+01
   0.200000E-01   0.267328E-01   0.188692E+02
   0.300000E-01   0.555090E-01   0.283260E+02
   0.400000E-01   0.116229E+00   0.377950E+02
   0.500000E-01   0.224064E+00   0.472777E+02
   0.600000E-01   0.385923E+00   0.567752E+02
   0.700000E-01   0.599238E+00   0.662879E+02
   0.800000E-01   0.854006E+00   0.758193E+02
   0.900000E-01   0.113623E+01   0.853668E+02
   0.100000E+00   0.143205E+01   0.949351E+02
   0.110000E+00   0.173072E+01   0.104525E+03
   0.120000E+00   0.202399E+01   0.114137E+03
   0.130000E+00   0.230742E+01   0.123773E+03
   0.140000E+00   0.259024E+01   0.133436E+03
   0.150000E+00   0.288419E+01   0.143128E+03
   0.160000E+00   0.320511E+01   0.152852E+03
   0.170000E+00   0.357004E+01   0.162615E+03
   0.180000E+00   0.399746E+01   0.172415E+03
   0.190000E+00   0.450733E+01   0.182262E+03
   0.200000E+00   0.511868E+01   0.192156E+03
   0.210000E+00   0.585114E+01   0.202107E+03
   0.220000E+00   0.672212E+01   0.212114E+03
   0.230000E+00   0.774876E+01   0.222184E+03
   0.240000E+00   0.894660E+01   0.232322E+03
   0.250000E+00   0.100944E+02   0.242534E+03
   0.260000E+00   0.105722E+02   0.252788E+03
   0.270000E+00   0.110934E+02   0.263074E+03
   0.280000E+00   0.117581E+02   0.273396E+03
   0.290000E+00   0.126045E+02   0.283755E+03
   0.300000E+00   0.136748E+02   0.294160E+03
   0.310000E+00   0.149881E+02   0.304614E+03
   0.320000E+00   0.165631E+02   0.315127E+03
   0.330000E+00   0.184126E+02   0.325702E+03
   0.340000E+00   0.205501E+02   0.336350E+03
   0.350000E+00   0.229866E+02   0.347070E+03
   0.360000E+00   0.257006E+02   0.357884E+03
   0.370000E+00   0.283305E+02   0.368775E+03
   0.380000E+00   0.310576E+02   0.379735E+03
   0.390000E+00   0.339247E+02   0.390793E+03
   0.400000E+00   0.369478E+02   0.401914E+03
   0.410000E+00   0.401437E+02   0.413126E+03
   0.420000E+00   0.434952E+02   0.424416E+03
   0.430000E+00   0.470019E+02   0.435787E+03
   0.440000E+00   0.506866E+02   0.447246E+03
   0.450000E+00   0.545143E+02   0.458801E+03
   0.460000E+00   0.585157E+02   0.470443E+03
   0.470000E+00   0.626489E+02   0.482179E+03
   0.480000E+00   0.669116E+02   0.494000E+03
   0.490000E+00   0.713378E+02   0.505907E+03
   0.500000E+00   0.759069E+02   0.517921E+03
   0.510000E+00   0.806198E+02   0.530008E+03
   0.520000E+00   0.854585E+02   0.542198E+03
   0.530000E+00   0.904300E+02   0.554508E+03
   0.540000E+00   0.955372E+02   0.566875E+03
   0.550000E+00   0.100747E+03   0.579364E+03
   0.560000E+00   0.106108E+03   0.591939E+03
   0.570000E+00   0.111596E+03   0.604590E+03
   0.580000E+00   0.117168E+03   0.617359E+03
   0.590000E+00   0.122822E+03   0.630219E+03
   0.600000E+00   0.128597E+03   0.643204E+03
   0.610000E+00   0.134465E+03   0.656250E+03
   0.620000E+00   0.140434E+03   0.669403E+03
   0.630000E+00   0.146537E+03   0.682672E+03
   0.640000E+00   0.152725E+03   0.696000E+03
   0.650000E+00   0.159053E+03   0.709484E+03
   0.660000E+00   0.165309E+03   0.723033E+03
   0.670000E+00   0.171543E+03   0.736650E+03
   0.680000E+00   0.177813E+03   0.750365E+03
   0.690000E+00   0.184195E+03   0.764183E+03
   0.700000E+00   0.190703E+03   0.778110E+03
   0.710000E+00   0.197231E+03   0.792121E+03
   0.720000E+00   0.203886E+03   0.806171E+03
   0.730000E+00   0.210551E+03   0.820384E+03
   0.740000E+00   0.217368E+03   0.834645E+03
   0.750000E+00   0.224262E+03   0.849044E+03
   0.760000E+00   0.231251E+03   0.863514E+03
   0.770000E+00   0.238337E+03   0.878116E+03
   0.780000E+00   0.245504E+03   0.892695E+03
   0.790000E+00   0.252826E+03   0.907469E+03
   0.800000E+00   0.260086E+03   0.922307E+03
   0.810000E+00   0.267616E+03   0.937224E+03
   0.820000E+00   0.275099E+03   0.952210E+03
   0.830000E+00   0.282706E+03   0.967366E+03
