 dentity  pressure  energy
   0.100000E-01   0.116641E-01   0.942460E+01
   0.200000E-01   0.267328E-01   0.188692E+02
   0.300000E-01   0.555090E-01   0.283260E+02
   0.400000E-01   0.116229E+00   0.377950E+02
   0.500000E-01   0.224064E+00   0.472777E+02
   0.600000E-01   0.385923E+00   0.567752E+02
   0.700000E-01   0.599237E+00   0.662879E+02
   0.800000E-01   0.854006E+00   0.758193E+02
   0.900000E-01   0.113623E+01   0.853668E+02
   0.100000E+00   0.143205E+01   0.949351E+02
   0.110000E+00   0.173072E+01   0.104525E+03
   0.120000E+00   0.202399E+01   0.114137E+03
   0.130000E+00   0.230636E+01   0.123772E+03
   0.140000E+00   0.258908E+01   0.133435E+03
   0.150000E+00   0.288419E+01   0.143128E+03
   0.160000E+00   0.320511E+01   0.152852E+03
   0.170000E+00   0.357002E+01   0.162615E+03
   0.180000E+00   0.399747E+01   0.172415E+03
   0.190000E+00   0.450733E+01   0.182262E+03
   0.200000E+00   0.511866E+01   0.192156E+03
   0.210000E+00   0.585113E+01   0.202107E+03
   0.220000E+00   0.672212E+01   0.212114E+03
   0.230000E+00   0.774877E+01   0.222184E+03
   0.240000E+00   0.894660E+01   0.232322E+03
   0.250000E+00   0.103299E+02   0.242535E+03
   0.260000E+00   0.119105E+02   0.252824E+03
   0.270000E+00   0.136996E+02   0.263194E+03
   0.280000E+00   0.157076E+02   0.273657E+03
   0.290000E+00   0.179409E+02   0.284207E+03
   0.300000E+00   0.204072E+02   0.294854E+03
   0.310000E+00   0.231137E+02   0.305600E+03
   0.320000E+00   0.260594E+02   0.316454E+03
   0.330000E+00   0.284734E+02   0.327402E+03
   0.340000E+00   0.304429E+02   0.338422E+03
   0.350000E+00   0.324588E+02   0.349506E+03
   0.360000E+00   0.345863E+02   0.360660E+03
   0.370000E+00   0.368398E+02   0.371881E+03
   0.380000E+00   0.392295E+02   0.383159E+03
   0.390000E+00   0.417686E+02   0.394515E+03
   0.400000E+00   0.444513E+02   0.405936E+03
   0.410000E+00   0.472818E+02   0.417424E+03
   0.420000E+00   0.502775E+02   0.428994E+03
   0.430000E+00   0.534102E+02   0.440640E+03
   0.440000E+00   0.567141E+02   0.452359E+03
   0.450000E+00   0.601540E+02   0.464151E+03
   0.460000E+00   0.637225E+02   0.476034E+03
   0.470000E+00   0.673453E+02   0.487918E+03
   0.480000E+00   0.688181E+02   0.495247E+03
   0.490000E+00   0.699643E+02   0.501864E+03
   0.500000E+00   0.711463E+02   0.508485E+03
   0.510000E+00   0.724868E+02   0.515439E+03
   0.520000E+00   0.738567E+02   0.522394E+03
   0.530000E+00   0.751940E+02   0.529251E+03
   0.540000E+00   0.766558E+02   0.536265E+03
   0.550000E+00   0.781607E+02   0.543301E+03
   0.560000E+00   0.797236E+02   0.550355E+03
   0.570000E+00   0.812957E+02   0.557439E+03
   0.580000E+00   0.828531E+02   0.564384E+03
   0.590000E+00   0.846246E+02   0.571661E+03
   0.600000E+00   0.863511E+02   0.578813E+03
   0.610000E+00   0.881064E+02   0.585986E+03
   0.620000E+00   0.898949E+02   0.593185E+03
   0.630000E+00   0.918423E+02   0.600566E+03
   0.640000E+00   0.937257E+02   0.607790E+03
   0.650000E+00   0.957476E+02   0.615221E+03
   0.660000E+00   0.978386E+02   0.622659E+03
   0.670000E+00   0.998289E+02   0.629958E+03
   0.680000E+00   0.101985E+03   0.637448E+03
   0.690000E+00   0.104185E+03   0.644988E+03
   0.700000E+00   0.106542E+03   0.652677E+03
   0.710000E+00   0.108818E+03   0.660246E+03
   0.720000E+00   0.111147E+03   0.667844E+03
   0.730000E+00   0.113553E+03   0.675453E+03
   0.740000E+00   0.116068E+03   0.683272E+03
   0.750000E+00   0.118536E+03   0.690921E+03
   0.760000E+00   0.121142E+03   0.698773E+03
   0.770000E+00   0.123763E+03   0.706661E+03
   0.780000E+00   0.126497E+03   0.714568E+03
   0.790000E+00   0.129087E+03   0.722340E+03
   0.800000E+00   0.131911E+03   0.730295E+03
   0.810000E+00   0.134695E+03   0.738292E+03
   0.820000E+00   0.137605E+03   0.746296E+03
   0.830000E+00   0.140625E+03   0.754496E+03
