   dentity  pressure  energy
   0.100000E-01   0.116641E-01   0.942460E+01
   0.200000E-01   0.267328E-01   0.188692E+02
   0.300000E-01   0.555090E-01   0.283260E+02
   0.400000E-01   0.116229E+00   0.377950E+02
   0.500000E-01   0.224064E+00   0.472777E+02
   0.600000E-01   0.385923E+00   0.567752E+02
   0.700000E-01   0.599238E+00   0.662879E+02
   0.800000E-01   0.854006E+00   0.758193E+02
   0.900000E-01   0.113623E+01   0.853668E+02
   0.100000E+00   0.143205E+01   0.949351E+02
   0.110000E+00   0.173072E+01   0.104525E+03
   0.120000E+00   0.202399E+01   0.114137E+03
   0.130000E+00   0.230742E+01   0.123773E+03
   0.140000E+00   0.259024E+01   0.133436E+03
   0.150000E+00   0.288419E+01   0.143128E+03
   0.160000E+00   0.320511E+01   0.152852E+03
   0.170000E+00   0.357004E+01   0.162615E+03
   0.180000E+00   0.399746E+01   0.172415E+03
   0.190000E+00   0.450733E+01   0.182262E+03
   0.200000E+00   0.511868E+01   0.192156E+03
   0.210000E+00   0.585114E+01   0.202107E+03
   0.220000E+00   0.672212E+01   0.212114E+03
   0.230000E+00   0.774876E+01   0.222184E+03
   0.240000E+00   0.894660E+01   0.232322E+03
   0.250000E+00   0.103299E+02   0.242535E+03
   0.260000E+00   0.119105E+02   0.252824E+03
   0.270000E+00   0.136996E+02   0.263194E+03
   0.280000E+00   0.157076E+02   0.273657E+03
   0.290000E+00   0.179409E+02   0.284207E+03
   0.300000E+00   0.204072E+02   0.294853E+03
   0.310000E+00   0.231095E+02   0.305599E+03
   0.320000E+00   0.260594E+02   0.316454E+03
   0.330000E+00   0.284686E+02   0.327403E+03
   0.340000E+00   0.304389E+02   0.338424E+03
   0.350000E+00   0.324587E+02   0.349506E+03
   0.360000E+00   0.345854E+02   0.360658E+03
   0.370000E+00   0.368337E+02   0.371880E+03
   0.380000E+00   0.392306E+02   0.383161E+03
   0.390000E+00   0.417600E+02   0.394512E+03
   0.400000E+00   0.444500E+02   0.405932E+03
   0.410000E+00   0.472824E+02   0.417423E+03
   0.420000E+00   0.502794E+02   0.428998E+03
   0.430000E+00   0.534130E+02   0.440634E+03
   0.440000E+00   0.567084E+02   0.452367E+03
   0.450000E+00   0.601480E+02   0.464159E+03
   0.460000E+00   0.637330E+02   0.476039E+03
   0.470000E+00   0.673803E+02   0.487994E+03
   0.480000E+00   0.711415E+02   0.500006E+03
   0.490000E+00   0.750282E+02   0.512113E+03
   0.500000E+00   0.790329E+02   0.524328E+03
   0.510000E+00   0.831755E+02   0.536584E+03
   0.520000E+00   0.874064E+02   0.548934E+03
   0.530000E+00   0.917731E+02   0.561395E+03
   0.540000E+00   0.962638E+02   0.573901E+03
   0.550000E+00   0.100867E+03   0.586513E+03
   0.560000E+00   0.105565E+03   0.599224E+03
   0.570000E+00   0.110383E+03   0.611992E+03
   0.580000E+00   0.115327E+03   0.624875E+03
   0.590000E+00   0.120358E+03   0.637825E+03
   0.600000E+00   0.125494E+03   0.650858E+03
   0.610000E+00   0.130773E+03   0.663967E+03
   0.620000E+00   0.136127E+03   0.677186E+03
   0.630000E+00   0.141579E+03   0.690490E+03
   0.640000E+00   0.147136E+03   0.703860E+03
   0.650000E+00   0.152831E+03   0.717304E+03
   0.660000E+00   0.158555E+03   0.730914E+03
   0.670000E+00   0.164451E+03   0.744497E+03
   0.680000E+00   0.170430E+03   0.758227E+03
   0.690000E+00   0.176468E+03   0.772033E+03
   0.700000E+00   0.182629E+03   0.785951E+03
   0.710000E+00   0.188885E+03   0.800001E+03
   0.720000E+00   0.195243E+03   0.814105E+03
   0.730000E+00   0.201724E+03   0.828257E+03
   0.740000E+00   0.208254E+03   0.842479E+03
   0.750000E+00   0.214916E+03   0.856831E+03
   0.760000E+00   0.221685E+03   0.871273E+03
   0.770000E+00   0.228558E+03   0.885830E+03
   0.780000E+00   0.235540E+03   0.900428E+03
   0.790000E+00   0.242583E+03   0.915118E+03
   0.800000E+00   0.249692E+03   0.929911E+03
   0.810000E+00   0.256949E+03   0.944809E+03
   0.820000E+00   0.264290E+03   0.959783E+03
   0.830000E+00   0.271769E+03   0.974864E+03
