 dentity  pressure  energy
   0.100000E-01   0.116672E-01   0.942460E+01
   0.200000E-01   0.291787E-01   0.188700E+02
   0.300000E-01   0.662003E-01   0.283298E+02
   0.400000E-01   0.141504E+00   0.378048E+02
   0.500000E-01   0.266694E+00   0.472951E+02
   0.600000E-01   0.442234E+00   0.568024E+02
   0.700000E-01   0.659281E+00   0.663260E+02
   0.800000E-01   0.904248E+00   0.758678E+02
   0.900000E-01   0.116382E+01   0.854266E+02
   0.100000E+00   0.142857E+01   0.950046E+02
   0.110000E+00   0.169463E+01   0.104602E+03
   0.120000E+00   0.195693E+01   0.114220E+03
   0.130000E+00   0.222521E+01   0.123860E+03
   0.140000E+00   0.251311E+01   0.133523E+03
   0.150000E+00   0.283731E+01   0.143215E+03
   0.160000E+00   0.321345E+01   0.152938E+03
   0.170000E+00   0.365992E+01   0.162695E+03
   0.180000E+00   0.419479E+01   0.172491E+03
   0.190000E+00   0.483634E+01   0.182331E+03
   0.200000E+00   0.560179E+01   0.192215E+03
   0.210000E+00   0.650870E+01   0.202155E+03
   0.220000E+00   0.757262E+01   0.212151E+03
   0.230000E+00   0.880862E+01   0.222211E+03
   0.240000E+00   0.102307E+02   0.232340E+03
   0.250000E+00   0.118510E+02   0.242541E+03
   0.260000E+00   0.136806E+02   0.252820E+03
   0.270000E+00   0.157295E+02   0.263183E+03
   0.280000E+00   0.180064E+02   0.273637E+03
   0.290000E+00   0.205174E+02   0.284180E+03
   0.300000E+00   0.232698E+02   0.294823E+03
   0.310000E+00   0.262689E+02   0.305574E+03
   0.320000E+00   0.295169E+02   0.316428E+03
   0.330000E+00   0.327514E+02   0.327392E+03
   0.340000E+00   0.354330E+02   0.338449E+03
   0.350000E+00   0.377684E+02   0.349582E+03
   0.360000E+00   0.401380E+02   0.360788E+03
   0.370000E+00   0.426144E+02   0.372060E+03
   0.380000E+00   0.452182E+02   0.383401E+03
   0.390000E+00   0.479475E+02   0.394816E+03
   0.400000E+00   0.508186E+02   0.406300E+03
   0.410000E+00   0.538402E+02   0.417863E+03
   0.420000E+00   0.570081E+02   0.429497E+03
   0.430000E+00   0.603289E+02   0.441205E+03
   0.440000E+00   0.638040E+02   0.453007E+03
   0.450000E+00   0.673412E+02   0.464890E+03
   0.460000E+00   0.709749E+02   0.476832E+03
   0.470000E+00   0.734450E+02   0.486389E+03
   0.480000E+00   0.742148E+02   0.492590E+03
   0.490000E+00   0.750992E+02   0.498973E+03
   0.500000E+00   0.761062E+02   0.505515E+03
   0.510000E+00   0.771495E+02   0.512071E+03
   0.520000E+00   0.782850E+02   0.518796E+03
   0.530000E+00   0.795555E+02   0.525703E+03
   0.540000E+00   0.808475E+02   0.532635E+03
   0.550000E+00   0.822133E+02   0.539573E+03
   0.560000E+00   0.836212E+02   0.546562E+03
   0.570000E+00   0.851628E+02   0.553703E+03
   0.580000E+00   0.866531E+02   0.560712E+03
   0.590000E+00   0.883151E+02   0.567894E+03
   0.600000E+00   0.898860E+02   0.574956E+03
   0.610000E+00   0.916197E+02   0.582175E+03
   0.620000E+00   0.933994E+02   0.589451E+03
   0.630000E+00   0.952232E+02   0.596704E+03
   0.640000E+00   0.971024E+02   0.604012E+03
   0.650000E+00   0.991301E+02   0.611496E+03
   0.660000E+00   0.101104E+03   0.618855E+03
   0.670000E+00   0.103225E+03   0.626407E+03
   0.680000E+00   0.105290E+03   0.633783E+03
   0.690000E+00   0.107509E+03   0.641367E+03
   0.700000E+00   0.109779E+03   0.648990E+03
   0.710000E+00   0.112069E+03   0.656620E+03
   0.720000E+00   0.114553E+03   0.664423E+03
   0.730000E+00   0.116958E+03   0.672133E+03
   0.740000E+00   0.119519E+03   0.679989E+03
   0.750000E+00   0.122020E+03   0.687718E+03
   0.760000E+00   0.124680E+03   0.695654E+03
   0.770000E+00   0.127388E+03   0.703620E+03
   0.780000E+00   0.130131E+03   0.711577E+03
   0.790000E+00   0.132927E+03   0.719617E+03
   0.800000E+00   0.135748E+03   0.727639E+03
   0.810000E+00   0.138657E+03   0.735712E+03
   0.820000E+00   0.141713E+03   0.743971E+03
   0.830000E+00   0.144668E+03   0.752073E+03
   0.840000E+00   0.147822E+03   0.760371E+03
   0.850000E+00   0.151006E+03   0.768725E+03
   0.860000E+00   0.154297E+03   0.777092E+03
