 dentity  pressure  energy
   0.100000E-01   0.116672E-01   0.942460E+01
   0.200000E-01   0.291787E-01   0.188700E+02
   0.300000E-01   0.662003E-01   0.283298E+02
   0.400000E-01   0.141504E+00   0.378048E+02
   0.500000E-01   0.266694E+00   0.472951E+02
   0.600000E-01   0.442234E+00   0.568024E+02
   0.700000E-01   0.659281E+00   0.663260E+02
   0.800000E-01   0.904248E+00   0.758678E+02
   0.900000E-01   0.116382E+01   0.854266E+02
   0.100000E+00   0.142857E+01   0.950046E+02
   0.110000E+00   0.169463E+01   0.104602E+03
   0.120000E+00   0.195693E+01   0.114220E+03
   0.130000E+00   0.222521E+01   0.123860E+03
   0.140000E+00   0.251420E+01   0.133524E+03
   0.150000E+00   0.283731E+01   0.143215E+03
   0.160000E+00   0.321345E+01   0.152938E+03
   0.170000E+00   0.365994E+01   0.162695E+03
   0.180000E+00   0.419479E+01   0.172491E+03
   0.190000E+00   0.483634E+01   0.182331E+03
   0.200000E+00   0.560177E+01   0.192215E+03
   0.210000E+00   0.650870E+01   0.202155E+03
   0.220000E+00   0.757263E+01   0.212151E+03
   0.230000E+00   0.880867E+01   0.222210E+03
   0.240000E+00   0.102307E+02   0.232340E+03
   0.250000E+00   0.118509E+02   0.242541E+03
   0.260000E+00   0.136806E+02   0.252820E+03
   0.270000E+00   0.157295E+02   0.263183E+03
   0.280000E+00   0.180064E+02   0.273637E+03
   0.290000E+00   0.205174E+02   0.284180E+03
   0.300000E+00   0.232698E+02   0.294823E+03
   0.310000E+00   0.262689E+02   0.305573E+03
   0.320000E+00   0.295169E+02   0.316428E+03
   0.330000E+00   0.327514E+02   0.327392E+03
   0.340000E+00   0.354383E+02   0.338451E+03
   0.350000E+00   0.377641E+02   0.349583E+03
   0.360000E+00   0.401418E+02   0.360783E+03
   0.370000E+00   0.426141E+02   0.372060E+03
   0.380000E+00   0.452185E+02   0.383399E+03
   0.390000E+00   0.479515E+02   0.394811E+03
   0.400000E+00   0.508241E+02   0.406296E+03
   0.410000E+00   0.538427E+02   0.417854E+03
   0.420000E+00   0.570092E+02   0.429500E+03
   0.430000E+00   0.603302E+02   0.441207E+03
   0.440000E+00   0.637995E+02   0.453014E+03
   0.450000E+00   0.673364E+02   0.464874E+03
   0.460000E+00   0.709710E+02   0.476835E+03
   0.470000E+00   0.747385E+02   0.488868E+03
   0.480000E+00   0.786070E+02   0.500976E+03
   0.490000E+00   0.826261E+02   0.513164E+03
   0.500000E+00   0.867528E+02   0.525454E+03
   0.510000E+00   0.910245E+02   0.537824E+03
   0.520000E+00   0.953961E+02   0.550239E+03
   0.530000E+00   0.999087E+02   0.562789E+03
   0.540000E+00   0.104520E+03   0.575403E+03
   0.550000E+00   0.109250E+03   0.588110E+03
   0.560000E+00   0.114082E+03   0.600911E+03
   0.570000E+00   0.119036E+03   0.613799E+03
   0.580000E+00   0.124120E+03   0.626798E+03
   0.590000E+00   0.129296E+03   0.639848E+03
   0.600000E+00   0.134607E+03   0.652989E+03
   0.610000E+00   0.140003E+03   0.666247E+03
   0.620000E+00   0.145480E+03   0.679561E+03
   0.630000E+00   0.151108E+03   0.692984E+03
   0.640000E+00   0.156826E+03   0.706503E+03
   0.650000E+00   0.162651E+03   0.720093E+03
   0.660000E+00   0.168595E+03   0.733778E+03
   0.670000E+00   0.174653E+03   0.747513E+03
   0.680000E+00   0.180766E+03   0.761395E+03
   0.690000E+00   0.186991E+03   0.775335E+03
   0.700000E+00   0.193340E+03   0.789430E+03
   0.710000E+00   0.199754E+03   0.803533E+03
   0.720000E+00   0.206323E+03   0.817770E+03
   0.730000E+00   0.212922E+03   0.832070E+03
   0.740000E+00   0.219675E+03   0.846494E+03
   0.750000E+00   0.226512E+03   0.860982E+03
   0.760000E+00   0.233444E+03   0.875562E+03
   0.770000E+00   0.240494E+03   0.890266E+03
   0.780000E+00   0.247594E+03   0.905004E+03
   0.790000E+00   0.254804E+03   0.919911E+03
   0.800000E+00   0.262168E+03   0.934844E+03
   0.810000E+00   0.269549E+03   0.949903E+03
   0.820000E+00   0.277113E+03   0.965047E+03
   0.830000E+00   0.284747E+03   0.980332E+03
   0.840000E+00   0.292449E+03   0.995636E+03
   0.850000E+00   0.300225E+03   0.101107E+04
   0.860000E+00   0.308169E+03   0.102660E+04
