 dentity  pressure  energy
   0.100000E-01   0.114995E-01   0.942448E+01
   0.200000E-01   0.332530E-01   0.188708E+02
   0.300000E-01   0.882920E-01   0.283336E+02
   0.400000E-01   0.198847E+00   0.378135E+02
   0.500000E-01   0.368429E+00   0.473098E+02
   0.600000E-01   0.580877E+00   0.568222E+02
   0.700000E-01   0.809527E+00   0.663493E+02
   0.800000E-01   0.102846E+01   0.758918E+02
   0.900000E-01   0.122044E+01   0.854466E+02
   0.100000E+00   0.138028E+01   0.950177E+02
   0.110000E+00   0.151397E+01   0.104603E+03
   0.120000E+00   0.163189E+01   0.114206E+03
   0.130000E+00   0.175463E+01   0.123829E+03
   0.140000E+00   0.191039E+01   0.133474E+03
   0.150000E+00   0.212599E+01   0.143148E+03
   0.160000E+00   0.242639E+01   0.152853E+03
   0.170000E+00   0.283889E+01   0.162596E+03
   0.180000E+00   0.338669E+01   0.172383E+03
   0.190000E+00   0.409529E+01   0.182222E+03
   0.200000E+00   0.498278E+01   0.192113E+03
   0.210000E+00   0.606976E+01   0.202070E+03
   0.220000E+00   0.737332E+01   0.212096E+03
   0.230000E+00   0.890865E+01   0.222199E+03
   0.240000E+00   0.106908E+02   0.232388E+03
   0.250000E+00   0.125798E+02   0.242663E+03
   0.260000E+00   0.136606E+02   0.253006E+03
   0.270000E+00   0.148188E+02   0.263396E+03
   0.280000E+00   0.161798E+02   0.273839E+03
   0.290000E+00   0.178018E+02   0.284341E+03
   0.300000E+00   0.197304E+02   0.294909E+03
   0.310000E+00   0.219731E+02   0.305557E+03
   0.320000E+00   0.245553E+02   0.316273E+03
   0.330000E+00   0.274860E+02   0.327089E+03
   0.340000E+00   0.307808E+02   0.338004E+03
   0.350000E+00   0.344314E+02   0.349023E+03
   0.360000E+00   0.380676E+02   0.360155E+03
   0.370000E+00   0.416416E+02   0.371386E+03
   0.380000E+00   0.453348E+02   0.382713E+03
   0.390000E+00   0.491630E+02   0.394140E+03
   0.400000E+00   0.531546E+02   0.405678E+03
   0.410000E+00   0.572997E+02   0.417306E+03
   0.420000E+00   0.616193E+02   0.429046E+03
   0.430000E+00   0.660776E+02   0.440883E+03
   0.440000E+00   0.706885E+02   0.452830E+03
   0.450000E+00   0.754513E+02   0.464885E+03
   0.460000E+00   0.803515E+02   0.477054E+03
   0.470000E+00   0.853920E+02   0.489331E+03
   0.480000E+00   0.894895E+02   0.499918E+03
   0.490000E+00   0.913884E+02   0.506782E+03
   0.500000E+00   0.933005E+02   0.513665E+03
   0.510000E+00   0.953387E+02   0.520720E+03
   0.520000E+00   0.973043E+02   0.527667E+03
   0.530000E+00   0.993086E+02   0.534637E+03
   0.540000E+00   0.101459E+03   0.541776E+03
   0.550000E+00   0.103505E+03   0.548790E+03
   0.560000E+00   0.105720E+03   0.555998E+03
   0.570000E+00   0.107834E+03   0.563081E+03
   0.580000E+00   0.110109E+03   0.570346E+03
   0.590000E+00   0.112331E+03   0.577458E+03
   0.600000E+00   0.114649E+03   0.584757E+03
   0.610000E+00   0.117047E+03   0.592125E+03
   0.620000E+00   0.119438E+03   0.599485E+03
   0.630000E+00   0.121915E+03   0.606886E+03
   0.640000E+00   0.124413E+03   0.614290E+03
   0.650000E+00   0.126930E+03   0.621729E+03
   0.660000E+00   0.129484E+03   0.629226E+03
   0.670000E+00   0.132217E+03   0.636871E+03
   0.680000E+00   0.134826E+03   0.644399E+03
   0.690000E+00   0.137588E+03   0.652146E+03
   0.700000E+00   0.140300E+03   0.659713E+03
   0.710000E+00   0.143120E+03   0.667487E+03
   0.720000E+00   0.145905E+03   0.675134E+03
   0.730000E+00   0.148812E+03   0.682951E+03
   0.740000E+00   0.151794E+03   0.690853E+03
   0.750000E+00   0.154773E+03   0.698739E+03
   0.760000E+00   0.157832E+03   0.706660E+03
   0.770000E+00   0.160905E+03   0.714569E+03
   0.780000E+00   0.164058E+03   0.722544E+03
   0.790000E+00   0.167370E+03   0.730729E+03
   0.800000E+00   0.170555E+03   0.738785E+03
   0.810000E+00   0.173775E+03   0.746826E+03
   0.820000E+00   0.177217E+03   0.755098E+03
   0.830000E+00   0.180572E+03   0.763211E+03
   0.840000E+00   0.184103E+03   0.771548E+03
   0.850000E+00   0.187551E+03   0.779684E+03
   0.860000E+00   0.191111E+03   0.788094E+03
   0.870000E+00   0.194744E+03   0.796444E+03
   0.880000E+00   0.198456E+03   0.804929E+03
   0.890000E+00   0.202209E+03   0.813368E+03
   0.900000E+00   0.205783E+03   0.821732E+03
   0.910000E+00   0.209182E+03   0.829879E+03
   0.920000E+00   0.212799E+03   0.838274E+03
   0.930000E+00   0.216297E+03   0.846476E+03
   0.940000E+00   0.219641E+03   0.854557E+03
   0.950000E+00   0.223040E+03   0.862626E+03
   0.960000E+00   0.225675E+03   0.870032E+03
   0.970000E+00   0.227977E+03   0.877135E+03
   0.980000E+00   0.230074E+03   0.884018E+03
   0.990000E+00   0.232059E+03   0.890751E+03
   0.100000E+01   0.234088E+03   0.897472E+03
   0.101000E+01   0.235862E+03   0.904056E+03
   0.102000E+01   0.237782E+03   0.910587E+03
   0.103000E+01   0.239594E+03   0.917096E+03
   0.104000E+01   0.241516E+03   0.923600E+03
   0.105000E+01   0.243495E+03   0.930220E+03
   0.106000E+01   0.245277E+03   0.936684E+03
   0.107000E+01   0.247371E+03   0.943356E+03
   0.108000E+01   0.249285E+03   0.949817E+03
   0.109000E+01   0.251373E+03   0.956420E+03
   0.110000E+01   0.253622E+03   0.963064E+03
   0.111000E+01   0.255749E+03   0.969802E+03
   0.112000E+01   0.258020E+03   0.976412E+03
   0.113000E+01   0.260259E+03   0.983120E+03
   0.114000E+01   0.262594E+03   0.989852E+03
   0.115000E+01   0.264934E+03   0.996585E+03
   0.116000E+01   0.267373E+03   0.100345E+04
   0.117000E+01   0.269821E+03   0.101021E+04
   0.118000E+01   0.272461E+03   0.101719E+04
   0.119000E+01   0.275019E+03   0.102416E+04
