 dentity  pressure  energy
   0.100000E-01   0.114995E-01   0.942448E+01
   0.200000E-01   0.332530E-01   0.188708E+02
   0.300000E-01   0.882920E-01   0.283336E+02
   0.400000E-01   0.198847E+00   0.378135E+02
   0.500000E-01   0.368429E+00   0.473098E+02
   0.600000E-01   0.580877E+00   0.568222E+02
   0.700000E-01   0.809527E+00   0.663493E+02
   0.800000E-01   0.102846E+01   0.758918E+02
   0.900000E-01   0.122044E+01   0.854466E+02
   0.100000E+00   0.138028E+01   0.950177E+02
   0.110000E+00   0.151397E+01   0.104603E+03
   0.120000E+00   0.163190E+01   0.114206E+03
   0.130000E+00   0.175463E+01   0.123829E+03
   0.140000E+00   0.191039E+01   0.133474E+03
   0.150000E+00   0.212467E+01   0.143147E+03
   0.160000E+00   0.242640E+01   0.152853E+03
   0.170000E+00   0.283889E+01   0.162596E+03
   0.180000E+00   0.338661E+01   0.172383E+03
   0.190000E+00   0.409529E+01   0.182222E+03
   0.200000E+00   0.498278E+01   0.192113E+03
   0.210000E+00   0.606976E+01   0.202070E+03
   0.220000E+00   0.737336E+01   0.212096E+03
   0.230000E+00   0.890864E+01   0.222199E+03
   0.240000E+00   0.106908E+02   0.232388E+03
   0.250000E+00   0.125829E+02   0.242663E+03
   0.260000E+00   0.136642E+02   0.253007E+03
   0.270000E+00   0.148159E+02   0.263398E+03
   0.280000E+00   0.161764E+02   0.273840E+03
   0.290000E+00   0.178067E+02   0.284343E+03
   0.300000E+00   0.197304E+02   0.294909E+03
   0.310000E+00   0.219712E+02   0.305549E+03
   0.320000E+00   0.245507E+02   0.316276E+03
   0.330000E+00   0.274875E+02   0.327086E+03
   0.340000E+00   0.307805E+02   0.338003E+03
   0.350000E+00   0.344320E+02   0.349025E+03
   0.360000E+00   0.380599E+02   0.360154E+03
   0.370000E+00   0.416386E+02   0.371380E+03
   0.380000E+00   0.453291E+02   0.382720E+03
   0.390000E+00   0.491675E+02   0.394150E+03
   0.400000E+00   0.531620E+02   0.405679E+03
   0.410000E+00   0.573010E+02   0.417313E+03
   0.420000E+00   0.616179E+02   0.429046E+03
   0.430000E+00   0.660721E+02   0.440890E+03
   0.440000E+00   0.706973E+02   0.452848E+03
   0.450000E+00   0.754451E+02   0.464895E+03
   0.460000E+00   0.803585E+02   0.477064E+03
   0.470000E+00   0.853859E+02   0.489323E+03
   0.480000E+00   0.905706E+02   0.501704E+03
   0.490000E+00   0.959161E+02   0.514187E+03
   0.500000E+00   0.101351E+03   0.526777E+03
   0.510000E+00   0.106939E+03   0.539482E+03
   0.520000E+00   0.112641E+03   0.552303E+03
   0.530000E+00   0.118496E+03   0.565225E+03
   0.540000E+00   0.124458E+03   0.578263E+03
   0.550000E+00   0.130558E+03   0.591441E+03
   0.560000E+00   0.136775E+03   0.604680E+03
   0.570000E+00   0.143103E+03   0.618055E+03
   0.580000E+00   0.149538E+03   0.631527E+03
   0.590000E+00   0.155866E+03   0.645128E+03
   0.600000E+00   0.162192E+03   0.658805E+03
   0.610000E+00   0.168588E+03   0.672613E+03
   0.620000E+00   0.175043E+03   0.686544E+03
   0.630000E+00   0.181633E+03   0.700531E+03
   0.640000E+00   0.188243E+03   0.714637E+03
   0.650000E+00   0.194917E+03   0.728881E+03
   0.660000E+00   0.201726E+03   0.743234E+03
   0.670000E+00   0.208611E+03   0.757611E+03
   0.680000E+00   0.215583E+03   0.772174E+03
   0.690000E+00   0.222718E+03   0.786812E+03
   0.700000E+00   0.229889E+03   0.801548E+03
   0.710000E+00   0.237197E+03   0.816386E+03
   0.720000E+00   0.244597E+03   0.831295E+03
   0.730000E+00   0.252052E+03   0.846383E+03
   0.740000E+00   0.259664E+03   0.861504E+03
   0.750000E+00   0.267276E+03   0.876777E+03
   0.760000E+00   0.275111E+03   0.892147E+03
   0.770000E+00   0.283011E+03   0.907622E+03
   0.780000E+00   0.291003E+03   0.923113E+03
   0.790000E+00   0.299084E+03   0.938769E+03
   0.800000E+00   0.307244E+03   0.954555E+03
   0.810000E+00   0.315558E+03   0.970405E+03
   0.820000E+00   0.323960E+03   0.986379E+03
   0.830000E+00   0.332482E+03   0.100247E+04
   0.840000E+00   0.341054E+03   0.101861E+04
   0.850000E+00   0.349785E+03   0.103492E+04
   0.860000E+00   0.358633E+03   0.105128E+04
   0.870000E+00   0.367509E+03   0.106782E+04
   0.880000E+00   0.376499E+03   0.108432E+04
   0.890000E+00   0.385653E+03   0.110109E+04
   0.900000E+00   0.394850E+03   0.111781E+04
   0.910000E+00   0.404218E+03   0.113476E+04
   0.920000E+00   0.413643E+03   0.115172E+04
   0.930000E+00   0.423183E+03   0.116878E+04
   0.940000E+00   0.432719E+03   0.118602E+04
   0.950000E+00   0.442512E+03   0.120326E+04
   0.960000E+00   0.452344E+03   0.122073E+04
   0.970000E+00   0.462323E+03   0.123819E+04
   0.980000E+00   0.472328E+03   0.125578E+04
   0.990000E+00   0.482212E+03   0.127340E+04
   0.100000E+01   0.492141E+03   0.129136E+04
   0.101000E+01   0.502270E+03   0.130926E+04
   0.102000E+01   0.512195E+03   0.132737E+04
   0.103000E+01   0.522445E+03   0.134544E+04
   0.104000E+01   0.532636E+03   0.136369E+04
   0.105000E+01   0.542870E+03   0.138204E+04
   0.106000E+01   0.553282E+03   0.140032E+04
   0.107000E+01   0.563758E+03   0.141894E+04
   0.108000E+01   0.574376E+03   0.143752E+04
   0.109000E+01   0.584917E+03   0.145626E+04
   0.110000E+01   0.595719E+03   0.147509E+04
   0.111000E+01   0.606628E+03   0.149404E+04
   0.112000E+01   0.617622E+03   0.151296E+04
   0.113000E+01   0.628605E+03   0.153206E+04
   0.114000E+01   0.639636E+03   0.155109E+04
   0.115000E+01   0.651004E+03   0.157045E+04
   0.116000E+01   0.662277E+03   0.158997E+04
   0.117000E+01   0.673750E+03   0.160941E+04
   0.118000E+01   0.685043E+03   0.162897E+04
   0.119000E+01   0.696760E+03   0.164856E+04
   0.121000E+01   0.698193E+03   0.169183E+04
   0.122000E+01   0.710564E+03   0.171158E+04
   0.123000E+01   0.721803E+03   0.173167E+04
   0.124000E+01   0.733078E+03   0.175191E+04
   0.125000E+01   0.744650E+03   0.177227E+04
   0.126000E+01   0.756221E+03   0.179294E+04
   0.127000E+01   0.768004E+03   0.181369E+04
