 dentity  pressure  energy
   0.100000E-01   0.112835E-01   0.941884E+01
   0.200000E-01   0.330665E-01   0.188597E+02
   0.300000E-01   0.883344E-01   0.283174E+02
   0.400000E-01   0.199222E+00   0.377921E+02
   0.500000E-01   0.369167E+00   0.472831E+02
   0.600000E-01   0.581991E+00   0.567910E+02
   0.700000E-01   0.810981E+00   0.663137E+02
   0.800000E-01   0.103026E+01   0.758515E+02
   0.900000E-01   0.122260E+01   0.854022E+02
   0.100000E+00   0.138282E+01   0.949681E+02
   0.110000E+00   0.151705E+01   0.104550E+03
   0.120000E+00   0.163666E+01   0.114149E+03
   0.130000E+00   0.176130E+01   0.123768E+03
   0.140000E+00   0.191855E+01   0.133411E+03
   0.150000E+00   0.213521E+01   0.143080E+03
   0.160000E+00   0.243799E+01   0.152783E+03
   0.170000E+00   0.285256E+01   0.162523E+03
   0.180000E+00   0.340355E+01   0.172308E+03
   0.190000E+00   0.411381E+01   0.182142E+03
   0.200000E+00   0.500419E+01   0.192032E+03
   0.210000E+00   0.609449E+01   0.201988E+03
   0.220000E+00   0.740096E+01   0.212010E+03
   0.230000E+00   0.894003E+01   0.222113E+03
   0.240000E+00   0.107234E+02   0.232295E+03
   0.250000E+00   0.127637E+02   0.242570E+03
   0.260000E+00   0.150694E+02   0.252941E+03
   0.270000E+00   0.176488E+02   0.263416E+03
   0.280000E+00   0.205067E+02   0.273999E+03
   0.290000E+00   0.236486E+02   0.284696E+03
   0.300000E+00   0.270757E+02   0.295511E+03
   0.310000E+00   0.307925E+02   0.306457E+03
   0.320000E+00   0.347929E+02   0.317526E+03
   0.330000E+00   0.382994E+02   0.328723E+03
   0.340000E+00   0.416974E+02   0.340022E+03
   0.350000E+00   0.451451E+02   0.351430E+03
   0.360000E+00   0.486751E+02   0.362934E+03
   0.370000E+00   0.520914E+02   0.374539E+03
   0.380000E+00   0.553624E+02   0.386230E+03
   0.390000E+00   0.587141E+02   0.398012E+03
   0.400000E+00   0.621632E+02   0.409881E+03
   0.410000E+00   0.657176E+02   0.421824E+03
   0.420000E+00   0.693400E+02   0.433873E+03
   0.430000E+00   0.730409E+02   0.445995E+03
   0.440000E+00   0.768522E+02   0.458207E+03
   0.450000E+00   0.807777E+02   0.470502E+03
   0.460000E+00   0.848262E+02   0.482902E+03
   0.470000E+00   0.889936E+02   0.495375E+03
   0.480000E+00   0.932828E+02   0.507938E+03
   0.490000E+00   0.976966E+02   0.520600E+03
   0.500000E+00   0.102231E+03   0.533337E+03
   0.510000E+00   0.106892E+03   0.546186E+03
   0.520000E+00   0.111678E+03   0.559132E+03
   0.530000E+00   0.116579E+03   0.572140E+03
   0.540000E+00   0.121602E+03   0.585241E+03
   0.550000E+00   0.126752E+03   0.598474E+03
   0.560000E+00   0.132022E+03   0.611770E+03
   0.570000E+00   0.137412E+03   0.625164E+03
   0.580000E+00   0.142922E+03   0.638644E+03
   0.590000E+00   0.148557E+03   0.652242E+03
   0.600000E+00   0.154304E+03   0.665926E+03
   0.610000E+00   0.160185E+03   0.679728E+03
   0.620000E+00   0.166169E+03   0.693581E+03
   0.630000E+00   0.172279E+03   0.707566E+03
   0.640000E+00   0.178512E+03   0.721647E+03
   0.650000E+00   0.184852E+03   0.735796E+03
   0.660000E+00   0.191315E+03   0.750082E+03
   0.670000E+00   0.197901E+03   0.764460E+03
   0.680000E+00   0.204605E+03   0.778912E+03
   0.690000E+00   0.211415E+03   0.793507E+03
   0.700000E+00   0.218354E+03   0.808157E+03
   0.710000E+00   0.225397E+03   0.822911E+03
   0.720000E+00   0.232554E+03   0.837756E+03
   0.730000E+00   0.239836E+03   0.852727E+03
   0.740000E+00   0.247243E+03   0.867819E+03
   0.750000E+00   0.254739E+03   0.882946E+03
   0.760000E+00   0.262381E+03   0.898220E+03
   0.770000E+00   0.270117E+03   0.913575E+03
   0.780000E+00   0.278003E+03   0.929099E+03
   0.790000E+00   0.285953E+03   0.944614E+03
   0.800000E+00   0.294039E+03   0.960289E+03
   0.810000E+00   0.302256E+03   0.976086E+03
   0.820000E+00   0.310578E+03   0.991932E+03
   0.830000E+00   0.318999E+03   0.100790E+04
   0.840000E+00   0.327552E+03   0.102397E+04
   0.850000E+00   0.336217E+03   0.104017E+04
   0.860000E+00   0.345003E+03   0.105647E+04
   0.870000E+00   0.353871E+03   0.107282E+04
   0.880000E+00   0.362873E+03   0.108930E+04
   0.890000E+00   0.371968E+03   0.110588E+04
   0.900000E+00   0.381202E+03   0.112260E+04
   0.910000E+00   0.390537E+03   0.113940E+04
   0.920000E+00   0.399969E+03   0.115627E+04
   0.930000E+00   0.409543E+03   0.117329E+04
   0.940000E+00   0.419183E+03   0.119037E+04
   0.950000E+00   0.428968E+03   0.120758E+04
   0.960000E+00   0.438849E+03   0.122489E+04
   0.970000E+00   0.448825E+03   0.124226E+04
