  density  pressure  energy
   0.100000E-01   0.211888E-01   0.942252E+01
   0.200000E-01   0.604253E-01   0.188858E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.400000E-01   0.136562E+00   0.378698E+02
   0.500000E-01   0.158345E+00   0.473734E+02
   0.600000E-01   0.173821E+00   0.568801E+02
   0.700000E-01   0.194442E+00   0.663902E+02
   0.800000E-01   0.233696E+00   0.759054E+02
   0.900000E-01   0.304044E+00   0.854259E+02
   0.100000E+00   0.419045E+00   0.949571E+02
   0.110000E+00   0.589413E+00   0.104519E+03
   0.120000E+00   0.820497E+00   0.114085E+03
   0.130000E+00   0.111944E+01   0.123672E+03
   0.140000E+00   0.149370E+01   0.133273E+03
   0.150000E+00   0.194946E+01   0.142914E+03
   0.160000E+00   0.249106E+01   0.152589E+03
   0.170000E+00   0.312169E+01   0.162300E+03
   0.180000E+00   0.384653E+01   0.172058E+03
   0.190000E+00   0.466584E+01   0.181845E+03
   0.200000E+00   0.558711E+01   0.191686E+03
   0.210000E+00   0.661007E+01   0.201573E+03
   0.220000E+00   0.774179E+01   0.211528E+03
   0.230000E+00   0.897767E+01   0.221507E+03
   0.240000E+00   0.103266E+02   0.231556E+03
   0.250000E+00   0.117885E+02   0.241665E+03
   0.260000E+00   0.133644E+02   0.251833E+03
   0.270000E+00   0.150578E+02   0.262074E+03
   0.280000E+00   0.168652E+02   0.272362E+03
   0.290000E+00   0.187914E+02   0.282734E+03
   0.300000E+00   0.203116E+02   0.293155E+03
   0.310000E+00   0.212988E+02   0.303622E+03
   0.320000E+00   0.222845E+02   0.314120E+03
   0.330000E+00   0.233278E+02   0.324653E+03
   0.340000E+00   0.244533E+02   0.335215E+03
   0.350000E+00   0.256749E+02   0.345807E+03
   0.360000E+00   0.270043E+02   0.356439E+03
   0.370000E+00   0.284484E+02   0.367118E+03
   0.380000E+00   0.300081E+02   0.377824E+03
   0.390000E+00   0.316902E+02   0.388588E+03
   0.400000E+00   0.334939E+02   0.399392E+03
   0.410000E+00   0.354184E+02   0.410243E+03
   0.420000E+00   0.374648E+02   0.421140E+03
   0.430000E+00   0.396174E+02   0.432081E+03
   0.440000E+00   0.416401E+02   0.443095E+03
   0.450000E+00   0.436487E+02   0.454135E+03
   0.460000E+00   0.456931E+02   0.465231E+03
   0.470000E+00   0.477826E+02   0.476364E+03
   0.480000E+00   0.499256E+02   0.487545E+03
   0.490000E+00   0.521266E+02   0.498766E+03
   0.500000E+00   0.543851E+02   0.510056E+03
   0.510000E+00   0.567022E+02   0.521376E+03
   0.520000E+00   0.590768E+02   0.532729E+03
   0.530000E+00   0.615123E+02   0.544158E+03
   0.540000E+00   0.640031E+02   0.555619E+03
   0.550000E+00   0.665533E+02   0.567124E+03
   0.560000E+00   0.691592E+02   0.578680E+03
   0.570000E+00   0.718220E+02   0.590289E+03
   0.580000E+00   0.745412E+02   0.601946E+03
   0.590000E+00   0.773085E+02   0.613629E+03
   0.600000E+00   0.801369E+02   0.625394E+03
   0.610000E+00   0.830139E+02   0.637186E+03
   0.620000E+00   0.859446E+02   0.649035E+03
   0.630000E+00   0.889230E+02   0.660920E+03
   0.640000E+00   0.919509E+02   0.672855E+03
   0.650000E+00   0.950304E+02   0.684848E+03
   0.660000E+00   0.981576E+02   0.696884E+03
   0.670000E+00   0.101331E+03   0.708962E+03
   0.680000E+00   0.104463E+03   0.721112E+03
   0.690000E+00   0.107564E+03   0.733277E+03
   0.700000E+00   0.110675E+03   0.745520E+03
   0.710000E+00   0.113801E+03   0.757787E+03
   0.720000E+00   0.116946E+03   0.770084E+03
   0.730000E+00   0.120122E+03   0.782444E+03
   0.740000E+00   0.123329E+03   0.794856E+03
   0.750000E+00   0.126568E+03   0.807304E+03
   0.760000E+00   0.129845E+03   0.819805E+03
   0.770000E+00   0.133154E+03   0.832329E+03
   0.780000E+00   0.136504E+03   0.844918E+03
   0.790000E+00   0.139889E+03   0.857530E+03
   0.800000E+00   0.143314E+03   0.870211E+03
   0.810000E+00   0.146778E+03   0.882908E+03
   0.820000E+00   0.150280E+03   0.895669E+03
   0.830000E+00   0.153820E+03   0.908456E+03
   0.840000E+00   0.157402E+03   0.921317E+03
   0.850000E+00   0.161022E+03   0.934217E+03
   0.860000E+00   0.164671E+03   0.947110E+03
   0.870000E+00   0.168364E+03   0.960070E+03
   0.880000E+00   0.172106E+03   0.973131E+03
   0.890000E+00   0.175869E+03   0.986155E+03
   0.900000E+00   0.179673E+03   0.999249E+03
   0.910000E+00   0.183520E+03   0.101241E+04
   0.920000E+00   0.187403E+03   0.102561E+04
   0.930000E+00   0.191325E+03   0.103886E+04
   0.940000E+00   0.195272E+03   0.105211E+04
   0.950000E+00   0.199261E+03   0.106542E+04
   0.960000E+00   0.203211E+03   0.107876E+04
   0.970000E+00   0.207117E+03   0.109218E+04
   0.980000E+00   0.211011E+03   0.110562E+04
   0.990000E+00   0.214912E+03   0.111909E+04
   0.100000E+01   0.218837E+03   0.113266E+04
   0.101000E+01   0.222757E+03   0.114615E+04
   0.102000E+01   0.226724E+03   0.115979E+04
   0.103000E+01   0.230709E+03   0.117345E+04
   0.104000E+01   0.234710E+03   0.118708E+04
   0.105000E+01   0.238760E+03   0.120082E+04
   0.106000E+01   0.242799E+03   0.121461E+04
   0.107000E+01   0.246743E+03   0.122842E+04
   0.108000E+01   0.250709E+03   0.124227E+04
   0.109000E+01   0.254701E+03   0.125613E+04
   0.110000E+01   0.258717E+03   0.127003E+04
   0.111000E+01   0.262776E+03   0.128400E+04
   0.112000E+01   0.266843E+03   0.129789E+04
   0.113000E+01   0.270990E+03   0.131200E+04
   0.114000E+01   0.275123E+03   0.132600E+04
   0.115000E+01   0.279325E+03   0.134015E+04
   0.116000E+01   0.283546E+03   0.135430E+04
   0.117000E+01   0.287641E+03   0.136848E+04
   0.118000E+01   0.291666E+03   0.138264E+04
   0.119000E+01   0.295673E+03   0.139688E+04
   0.120000E+01   0.299658E+03   0.141108E+04
