  density  pressure  energy
   0.100000E-01   0.211888E-01   0.942252E+01
   0.200000E-01   0.604253E-01   0.188858E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.400000E-01   0.136561E+00   0.378698E+02
   0.500000E-01   0.158344E+00   0.473734E+02
   0.600000E-01   0.173820E+00   0.568801E+02
   0.700000E-01   0.194439E+00   0.663902E+02
   0.800000E-01   0.233682E+00   0.759054E+02
   0.900000E-01   0.304015E+00   0.854259E+02
   0.100000E+00   0.418992E+00   0.949572E+02
   0.110000E+00   0.589333E+00   0.104519E+03
   0.120000E+00   0.820447E+00   0.114085E+03
   0.130000E+00   0.111932E+01   0.123672E+03
   0.140000E+00   0.149359E+01   0.133273E+03
   0.150000E+00   0.194935E+01   0.142914E+03
   0.160000E+00   0.249096E+01   0.152589E+03
   0.170000E+00   0.312161E+01   0.162300E+03
   0.180000E+00   0.384576E+01   0.172052E+03
   0.190000E+00   0.466577E+01   0.181845E+03
   0.200000E+00   0.558706E+01   0.191686E+03
   0.210000E+00   0.661002E+01   0.201573E+03
   0.220000E+00   0.774089E+01   0.211523E+03
   0.230000E+00   0.897763E+01   0.221507E+03
   0.240000E+00   0.103266E+02   0.231556E+03
   0.250000E+00   0.117885E+02   0.241665E+03
   0.260000E+00   0.133644E+02   0.251833E+03
   0.270000E+00   0.150578E+02   0.262074E+03
   0.280000E+00   0.168652E+02   0.272362E+03
   0.290000E+00   0.187913E+02   0.282734E+03
   0.300000E+00   0.208340E+02   0.293167E+03
   0.310000E+00   0.229907E+02   0.303662E+03
   0.320000E+00   0.252627E+02   0.314229E+03
   0.330000E+00   0.274737E+02   0.324885E+03
   0.340000E+00   0.289834E+02   0.335585E+03
   0.350000E+00   0.304516E+02   0.346327E+03
   0.360000E+00   0.319646E+02   0.357111E+03
   0.370000E+00   0.335487E+02   0.367939E+03
   0.380000E+00   0.352194E+02   0.378820E+03
   0.390000E+00   0.369836E+02   0.389742E+03
   0.400000E+00   0.388456E+02   0.400703E+03
   0.410000E+00   0.407190E+02   0.411724E+03
   0.420000E+00   0.424819E+02   0.422777E+03
   0.430000E+00   0.442591E+02   0.433886E+03
   0.440000E+00   0.460748E+02   0.445027E+03
   0.450000E+00   0.479388E+02   0.456209E+03
   0.460000E+00   0.498576E+02   0.467442E+03
   0.470000E+00   0.518324E+02   0.478704E+03
   0.480000E+00   0.538662E+02   0.490018E+03
   0.490000E+00   0.559600E+02   0.501375E+03
   0.500000E+00   0.581150E+02   0.512783E+03
   0.510000E+00   0.603278E+02   0.524218E+03
   0.520000E+00   0.626020E+02   0.535714E+03
   0.530000E+00   0.649357E+02   0.547249E+03
   0.540000E+00   0.673274E+02   0.558830E+03
   0.550000E+00   0.697799E+02   0.570461E+03
   0.560000E+00   0.722870E+02   0.582129E+03
   0.570000E+00   0.748519E+02   0.593851E+03
   0.580000E+00   0.774732E+02   0.605607E+03
   0.590000E+00   0.801487E+02   0.617404E+03
   0.600000E+00   0.828810E+02   0.629271E+03
   0.610000E+00   0.856647E+02   0.641168E+03
   0.620000E+00   0.885036E+02   0.653120E+03
   0.630000E+00   0.913933E+02   0.665117E+03
   0.640000E+00   0.943334E+02   0.677161E+03
   0.650000E+00   0.973220E+02   0.689234E+03
   0.660000E+00   0.100363E+03   0.701369E+03
   0.670000E+00   0.103453E+03   0.713564E+03
   0.680000E+00   0.106590E+03   0.725792E+03
   0.690000E+00   0.109774E+03   0.738073E+03
   0.700000E+00   0.113004E+03   0.750394E+03
   0.710000E+00   0.116276E+03   0.762747E+03
   0.720000E+00   0.119597E+03   0.775163E+03
   0.730000E+00   0.122965E+03   0.787643E+03
   0.740000E+00   0.126368E+03   0.800132E+03
   0.750000E+00   0.129823E+03   0.812713E+03
   0.760000E+00   0.133316E+03   0.825312E+03
   0.770000E+00   0.136848E+03   0.837948E+03
   0.780000E+00   0.140426E+03   0.850662E+03
   0.790000E+00   0.144038E+03   0.863388E+03
   0.800000E+00   0.147697E+03   0.876195E+03
   0.810000E+00   0.151391E+03   0.889030E+03
   0.820000E+00   0.155120E+03   0.901895E+03
   0.830000E+00   0.158896E+03   0.914846E+03
   0.840000E+00   0.162695E+03   0.927814E+03
   0.850000E+00   0.166461E+03   0.940833E+03
   0.860000E+00   0.170212E+03   0.953889E+03
   0.870000E+00   0.173967E+03   0.966987E+03
   0.880000E+00   0.177738E+03   0.980146E+03
   0.890000E+00   0.181529E+03   0.993357E+03
   0.900000E+00   0.185329E+03   0.100657E+04
   0.910000E+00   0.189166E+03   0.101988E+04
   0.920000E+00   0.193019E+03   0.103320E+04
   0.930000E+00   0.196895E+03   0.104656E+04
   0.940000E+00   0.200804E+03   0.105999E+04
   0.950000E+00   0.204734E+03   0.107344E+04
   0.960000E+00   0.208685E+03   0.108691E+04
   0.970000E+00   0.212675E+03   0.110046E+04
   0.980000E+00   0.216687E+03   0.111403E+04
   0.990000E+00   0.220730E+03   0.112764E+04
   0.100000E+01   0.224800E+03   0.114131E+04
   0.101000E+01   0.228893E+03   0.115498E+04
   0.102000E+01   0.233030E+03   0.116877E+04
   0.103000E+01   0.237180E+03   0.118251E+04
   0.104000E+01   0.241367E+03   0.119634E+04
   0.105000E+01   0.245583E+03   0.121020E+04
   0.106000E+01   0.249833E+03   0.122414E+04
   0.107000E+01   0.254115E+03   0.123810E+04
   0.108000E+01   0.258416E+03   0.125209E+04
   0.109000E+01   0.262744E+03   0.126611E+04
   0.110000E+01   0.267103E+03   0.128016E+04
   0.111000E+01   0.271480E+03   0.129423E+04
   0.112000E+01   0.275904E+03   0.130841E+04
   0.113000E+01   0.280338E+03   0.132257E+04
   0.114000E+01   0.284825E+03   0.133685E+04
   0.115000E+01   0.289334E+03   0.135113E+04
   0.116000E+01   0.293849E+03   0.136539E+04
   0.117000E+01   0.298412E+03   0.137979E+04
   0.118000E+01   0.302987E+03   0.139415E+04
   0.119000E+01   0.307583E+03   0.140854E+04
   0.120000E+01   0.312230E+03   0.142305E+04
