  density  pressure  energy
   0.100000E-01   0.192901E-01   0.940647E+01
   0.200000E-01   0.588712E-01   0.188505E+02
   0.300000E-01   0.100656E+00   0.282878E+02
   0.400000E-01   0.137904E+00   0.379569E+02
   0.500000E-01   0.161353E+00   0.473583E+02
   0.600000E-01   0.174318E+00   0.569633E+02
   0.700000E-01   0.192539E+00   0.663492E+02
   0.800000E-01   0.233754E+00   0.758612E+02
   0.900000E-01   0.304029E+00   0.853742E+02
   0.100000E+00   0.415903E+00   0.948907E+02
   0.110000E+00   0.588228E+00   0.104564E+03
   0.120000E+00   0.823318E+00   0.114000E+03
   0.130000E+00   0.112262E+01   0.123720E+03
   0.140000E+00   0.149342E+01   0.133261E+03
   0.150000E+00   0.195190E+01   0.142970E+03
   0.160000E+00   0.248970E+01   0.152573E+03
   0.170000E+00   0.311824E+01   0.162278E+03
   0.180000E+00   0.384908E+01   0.172044E+03
   0.190000E+00   0.466124E+01   0.181818E+03
   0.200000E+00   0.559382E+01   0.191754E+03
   0.210000E+00   0.660986E+01   0.201554E+03
   0.220000E+00   0.773162E+01   0.211476E+03
   0.230000E+00   0.899181E+01   0.221600E+03
   0.240000E+00   0.103351E+02   0.231642E+03
   0.250000E+00   0.117852E+02   0.241634E+03
   0.260000E+00   0.133515E+02   0.251781E+03
   0.270000E+00   0.150504E+02   0.262026E+03
   0.280000E+00   0.168703E+02   0.272400E+03
   0.290000E+00   0.187737E+02   0.282662E+03
   0.300000E+00   0.208177E+02   0.293097E+03
   0.310000E+00   0.229751E+02   0.303597E+03
   0.320000E+00   0.252809E+02   0.314297E+03
   0.330000E+00   0.276631E+02   0.324933E+03
   0.340000E+00   0.301398E+02   0.335540E+03
   0.350000E+00   0.327787E+02   0.346458E+03
   0.360000E+00   0.354816E+02   0.357274E+03
   0.370000E+00   0.382912E+02   0.368137E+03
   0.380000E+00   0.412219E+02   0.379173E+03
   0.390000E+00   0.437618E+02   0.390292E+03
   0.400000E+00   0.461750E+02   0.401544E+03
   0.410000E+00   0.485287E+02   0.412702E+03
   0.420000E+00   0.509191E+02   0.424008E+03
   0.430000E+00   0.533141E+02   0.435320E+03
   0.440000E+00   0.557524E+02   0.446743E+03
   0.450000E+00   0.582083E+02   0.458145E+03
   0.460000E+00   0.607031E+02   0.469620E+03
   0.470000E+00   0.630732E+02   0.481349E+03
   0.480000E+00   0.646284E+02   0.492760E+03
   0.490000E+00   0.663570E+02   0.504476E+03
   0.500000E+00   0.681739E+02   0.516157E+03
   0.510000E+00   0.701065E+02   0.527876E+03
   0.520000E+00   0.720620E+02   0.539551E+03
   0.530000E+00   0.741796E+02   0.551279E+03
   0.540000E+00   0.763780E+02   0.563201E+03
   0.550000E+00   0.786730E+02   0.575047E+03
   0.560000E+00   0.810070E+02   0.586925E+03
   0.570000E+00   0.834547E+02   0.598946E+03
   0.580000E+00   0.860151E+02   0.611003E+03
   0.590000E+00   0.885906E+02   0.622975E+03
   0.600000E+00   0.912408E+02   0.634963E+03
   0.610000E+00   0.939648E+02   0.647138E+03
   0.620000E+00   0.967631E+02   0.659239E+03
   0.630000E+00   0.996523E+02   0.671495E+03
   0.640000E+00   0.102609E+03   0.683797E+03
   0.650000E+00   0.105577E+03   0.696045E+03
   0.660000E+00   0.108653E+03   0.708369E+03
