   density  pressure  energy
   0.100000E-01   0.210781E-01   0.942700E+01
   0.200000E-01   0.606066E-01   0.188895E+02
   0.300000E-01   0.103035E+00   0.283740E+02
   0.400000E-01   0.136666E+00   0.378715E+02
   0.500000E-01   0.158775E+00   0.473764E+02
   0.600000E-01   0.174959E+00   0.568851E+02
   0.700000E-01   0.196108E+00   0.663963E+02
   0.800000E-01   0.235515E+00   0.759127E+02
   0.900000E-01   0.306795E+00   0.854353E+02
   0.100000E+00   0.422558E+00   0.949680E+02
   0.110000E+00   0.593774E+00   0.104514E+03
   0.120000E+00   0.825343E+00   0.114079E+03
   0.130000E+00   0.112556E+01   0.123666E+03
   0.140000E+00   0.150166E+01   0.133279E+03
   0.150000E+00   0.195892E+01   0.142921E+03
   0.160000E+00   0.250179E+01   0.152599E+03
   0.170000E+00   0.313398E+01   0.162312E+03
   0.180000E+00   0.385932E+01   0.172065E+03
   0.190000E+00   0.468123E+01   0.181860E+03
   0.200000E+00   0.560287E+01   0.191701E+03
   0.210000E+00   0.662772E+01   0.201592E+03
   0.220000E+00   0.775830E+01   0.211533E+03
   0.230000E+00   0.899710E+01   0.221526E+03
   0.240000E+00   0.103470E+02   0.231578E+03
   0.250000E+00   0.118097E+02   0.241688E+03
   0.260000E+00   0.133867E+02   0.251857E+03
   0.270000E+00   0.150796E+02   0.262093E+03
   0.280000E+00   0.168886E+02   0.272393E+03
   0.290000E+00   0.188138E+02   0.282757E+03
   0.300000E+00   0.208562E+02   0.293192E+03
   0.310000E+00   0.230141E+02   0.303695E+03
   0.320000E+00   0.252870E+02   0.314268E+03
   0.330000E+00   0.276745E+02   0.324916E+03
   0.340000E+00   0.301750E+02   0.335640E+03
   0.350000E+00   0.327849E+02   0.346433E+03
   0.360000E+00   0.355053E+02   0.357309E+03
   0.370000E+00   0.383326E+02   0.368261E+03
   0.380000E+00   0.412576E+02   0.379283E+03
   0.390000E+00   0.437034E+02   0.390388E+03
   0.400000E+00   0.459211E+02   0.401549E+03
   0.410000E+00   0.480527E+02   0.412759E+03
   0.420000E+00   0.501420E+02   0.424025E+03
   0.430000E+00   0.522100E+02   0.435341E+03
   0.440000E+00   0.542679E+02   0.446700E+03
   0.450000E+00   0.563251E+02   0.458107E+03
   0.460000E+00   0.579669E+02   0.469553E+03
   0.470000E+00   0.594237E+02   0.481047E+03
   0.480000E+00   0.608508E+02   0.492560E+03
   0.490000E+00   0.622737E+02   0.504105E+03
   0.500000E+00   0.637008E+02   0.515668E+03
   0.510000E+00   0.651414E+02   0.527275E+03
   0.520000E+00   0.665987E+02   0.538909E+03
   0.530000E+00   0.680716E+02   0.550554E+03
   0.540000E+00   0.695674E+02   0.562244E+03
   0.550000E+00   0.710864E+02   0.573972E+03
   0.560000E+00   0.726255E+02   0.585712E+03
   0.570000E+00   0.741903E+02   0.597476E+03
   0.580000E+00   0.757800E+02   0.609280E+03
   0.590000E+00   0.773944E+02   0.621103E+03
   0.600000E+00   0.790373E+02   0.632968E+03
   0.610000E+00   0.807028E+02   0.644832E+03
   0.620000E+00   0.823963E+02   0.656731E+03
   0.630000E+00   0.841202E+02   0.668679E+03
   0.640000E+00   0.858700E+02   0.680660E+03
   0.650000E+00   0.876461E+02   0.692647E+03
   0.660000E+00   0.894463E+02   0.704643E+03
   0.670000E+00   0.912778E+02   0.716689E+03
   0.680000E+00   0.931391E+02   0.728769E+03
   0.690000E+00   0.950253E+02   0.740867E+03
   0.700000E+00   0.969440E+02   0.753020E+03
   0.710000E+00   0.988868E+02   0.765171E+03
   0.720000E+00   0.100855E+03   0.777326E+03
   0.730000E+00   0.102854E+03   0.789556E+03
   0.740000E+00   0.104881E+03   0.801791E+03
   0.750000E+00   0.106931E+03   0.814031E+03
   0.760000E+00   0.109018E+03   0.826353E+03
   0.770000E+00   0.111125E+03   0.838662E+03
   0.780000E+00   0.113262E+03   0.851012E+03
   0.790000E+00   0.115423E+03   0.863380E+03
   0.800000E+00   0.117615E+03   0.875783E+03
   0.810000E+00   0.119830E+03   0.888192E+03
   0.820000E+00   0.122075E+03   0.900669E+03
   0.830000E+00   0.124345E+03   0.913138E+03
   0.840000E+00   0.126648E+03   0.925690E+03
   0.850000E+00   0.128976E+03   0.938243E+03
   0.860000E+00   0.131327E+03   0.950815E+03
   0.870000E+00   0.133696E+03   0.963383E+03
   0.880000E+00   0.136100E+03   0.976011E+03
   0.890000E+00   0.138532E+03   0.988675E+03
   0.900000E+00   0.140985E+03   0.100137E+04
   0.910000E+00   0.143466E+03   0.101408E+04
   0.920000E+00   0.145967E+03   0.102679E+04
   0.930000E+00   0.148498E+03   0.103958E+04
   0.940000E+00   0.151045E+03   0.105232E+04
   0.950000E+00   0.153627E+03   0.106517E+04
   0.960000E+00   0.156217E+03   0.107796E+04
