  density  pressure  energy
   0.500000E-02   0.706282E-02   0.470501E+01
   0.100000E-01   0.211888E-01   0.942252E+01
   0.150000E-01   0.394299E-01   0.141531E+02
   0.200000E-01   0.604253E-01   0.188858E+02
   0.250000E-01   0.821551E-01   0.236235E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.350000E-01   0.121303E+00   0.331303E+02
   0.400000E-01   0.136562E+00   0.378698E+02
   0.450000E-01   0.148543E+00   0.426207E+02
   0.500000E-01   0.158345E+00   0.473734E+02
   0.550000E-01   0.166445E+00   0.521390E+02
   0.600000E-01   0.173821E+00   0.568801E+02
   0.650000E-01   0.183181E+00   0.616357E+02
   0.700000E-01   0.194442E+00   0.663902E+02
   0.750000E-01   0.211326E+00   0.711480E+02
   0.800000E-01   0.233695E+00   0.759054E+02
   0.850000E-01   0.264466E+00   0.806743E+02
   0.900000E-01   0.304044E+00   0.854259E+02
   0.950000E-01   0.355515E+00   0.901906E+02
   0.100000E+00   0.419045E+00   0.949571E+02
   0.105000E+00   0.496887E+00   0.997436E+02
   0.110000E+00   0.589413E+00   0.104519E+03
   0.115000E+00   0.696981E+00   0.109299E+03
   0.120000E+00   0.820499E+00   0.114085E+03
   0.125000E+00   0.960751E+00   0.118875E+03
   0.130000E+00   0.111948E+01   0.123672E+03
   0.135000E+00   0.129665E+01   0.128463E+03
   0.140000E+00   0.149405E+01   0.133273E+03
   0.145000E+00   0.171251E+01   0.138090E+03
   0.150000E+00   0.195303E+01   0.142914E+03
   0.155000E+00   0.222008E+01   0.147747E+03
   0.160000E+00   0.252327E+01   0.152589E+03
   0.165000E+00   0.288613E+01   0.157443E+03
   0.170000E+00   0.335462E+01   0.162309E+03
   0.175000E+00   0.398630E+01   0.167188E+03
   0.180000E+00   0.481548E+01   0.172092E+03
   0.185000E+00   0.582509E+01   0.177019E+03
   0.190000E+00   0.698011E+01   0.181977E+03
   0.195000E+00   0.824598E+01   0.186965E+03
   0.200000E+00   0.959700E+01   0.191986E+03
   0.205000E+00   0.110173E+02   0.197044E+03
   0.210000E+00   0.124935E+02   0.202137E+03
   0.215000E+00   0.139777E+02   0.207265E+03
   0.220000E+00   0.152423E+02   0.212425E+03
   0.225000E+00   0.165035E+02   0.217610E+03
   0.230000E+00   0.177869E+02   0.222831E+03
   0.235000E+00   0.190853E+02   0.228075E+03
   0.240000E+00   0.204050E+02   0.233345E+03
   0.245000E+00   0.217441E+02   0.238646E+03
   0.250000E+00   0.231038E+02   0.243981E+03
   0.255000E+00   0.244808E+02   0.249339E+03
   0.260000E+00   0.258731E+02   0.254717E+03
   0.265000E+00   0.272798E+02   0.260122E+03
   0.270000E+00   0.287070E+02   0.265559E+03
   0.275000E+00   0.301488E+02   0.271034E+03
   0.280000E+00   0.315996E+02   0.276509E+03
   0.285000E+00   0.330698E+02   0.282036E+03
   0.290000E+00   0.345511E+02   0.287576E+03
   0.295000E+00   0.360457E+02   0.293138E+03
   0.300000E+00   0.375546E+02   0.298733E+03
   0.305000E+00   0.390754E+02   0.304358E+03
   0.310000E+00   0.406079E+02   0.309997E+03
   0.315000E+00   0.421549E+02   0.315676E+03
   0.320000E+00   0.437124E+02   0.321367E+03
   0.325000E+00   0.452777E+02   0.327080E+03
   0.330000E+00   0.468540E+02   0.332817E+03
   0.335000E+00   0.484437E+02   0.338581E+03
   0.340000E+00   0.500475E+02   0.344385E+03
   0.345000E+00   0.516573E+02   0.350189E+03
   0.350000E+00   0.532752E+02   0.356026E+03
   0.355000E+00   0.549060E+02   0.361884E+03
   0.360000E+00   0.565462E+02   0.367769E+03
   0.365000E+00   0.581945E+02   0.373671E+03
   0.370000E+00   0.598541E+02   0.379601E+03
   0.375000E+00   0.615228E+02   0.385555E+03
   0.380000E+00   0.632033E+02   0.391535E+03
   0.385000E+00   0.648909E+02   0.397526E+03
   0.390000E+00   0.665862E+02   0.403543E+03
   0.395000E+00   0.682898E+02   0.409595E+03
   0.400000E+00   0.700005E+02   0.415641E+03
   0.405000E+00   0.717216E+02   0.421736E+03
   0.410000E+00   0.734519E+02   0.427843E+03
   0.415000E+00   0.751876E+02   0.433961E+03
   0.420000E+00   0.769341E+02   0.440111E+03
   0.425000E+00   0.786498E+02   0.446278E+03
   0.430000E+00   0.803209E+02   0.452459E+03
   0.435000E+00   0.819706E+02   0.458677E+03
   0.440000E+00   0.836153E+02   0.464906E+03
   0.445000E+00   0.852592E+02   0.471159E+03
   0.450000E+00   0.868986E+02   0.477408E+03
   0.455000E+00   0.885399E+02   0.483695E+03
   0.460000E+00   0.901782E+02   0.490003E+03
   0.465000E+00   0.918249E+02   0.496310E+03
   0.470000E+00   0.934735E+02   0.502650E+03
   0.475000E+00   0.951252E+02   0.509001E+03
   0.480000E+00   0.967798E+02   0.515377E+03
   0.485000E+00   0.984414E+02   0.521769E+03
   0.490000E+00   0.100098E+03   0.528169E+03
   0.495000E+00   0.101768E+03   0.534591E+03
   0.500000E+00   0.103440E+03   0.541038E+03
   0.505000E+00   0.105112E+03   0.547481E+03
   0.510000E+00   0.106797E+03   0.553965E+03
   0.515000E+00   0.108482E+03   0.560459E+03
   0.520000E+00   0.110168E+03   0.566963E+03
   0.525000E+00   0.111861E+03   0.573486E+03
   0.530000E+00   0.113558E+03   0.580029E+03
   0.535000E+00   0.115268E+03   0.586578E+03
   0.540000E+00   0.116978E+03   0.593147E+03
   0.545000E+00   0.118694E+03   0.599732E+03
   0.550000E+00   0.120414E+03   0.606342E+03
   0.555000E+00   0.122138E+03   0.612954E+03
   0.560000E+00   0.123873E+03   0.619602E+03
   0.565000E+00   0.125607E+03   0.626254E+03
   0.570000E+00   0.127346E+03   0.632909E+03
   0.575000E+00   0.129089E+03   0.639594E+03
   0.580000E+00   0.130841E+03   0.646296E+03
   0.585000E+00   0.132596E+03   0.653005E+03
   0.590000E+00   0.134362E+03   0.659733E+03
   0.595000E+00   0.136125E+03   0.666461E+03
   0.600000E+00   0.137898E+03   0.673228E+03
   0.605000E+00   0.139651E+03   0.679996E+03
   0.610000E+00   0.141382E+03   0.686787E+03
   0.615000E+00   0.143107E+03   0.693579E+03
   0.620000E+00   0.144831E+03   0.700403E+03
