  density  pressure  energy
   0.500000E-02   0.706282E-02   0.470501E+01
   0.100000E-01   0.211888E-01   0.942252E+01
   0.150000E-01   0.394299E-01   0.141531E+02
   0.200000E-01   0.604253E-01   0.188858E+02
   0.250000E-01   0.821551E-01   0.236235E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.350000E-01   0.121303E+00   0.331303E+02
   0.400000E-01   0.136561E+00   0.378698E+02
   0.450000E-01   0.148543E+00   0.426207E+02
   0.500000E-01   0.158344E+00   0.473734E+02
   0.550000E-01   0.166444E+00   0.521390E+02
   0.600000E-01   0.173819E+00   0.568801E+02
   0.650000E-01   0.183178E+00   0.616357E+02
   0.700000E-01   0.194440E+00   0.663902E+02
   0.750000E-01   0.211322E+00   0.711480E+02
   0.800000E-01   0.233689E+00   0.759054E+02
   0.850000E-01   0.264469E+00   0.806653E+02
   0.900000E-01   0.304037E+00   0.854259E+02
   0.950000E-01   0.355493E+00   0.901906E+02
   0.100000E+00   0.419033E+00   0.949572E+02
   0.105000E+00   0.496837E+00   0.997436E+02
   0.110000E+00   0.589372E+00   0.104519E+03
   0.115000E+00   0.696870E+00   0.109299E+03
   0.120000E+00   0.820488E+00   0.114085E+03
   0.125000E+00   0.960682E+00   0.118875E+03
   0.130000E+00   0.111941E+01   0.123672E+03
   0.135000E+00   0.129659E+01   0.128464E+03
   0.140000E+00   0.149399E+01   0.133273E+03
   0.145000E+00   0.171245E+01   0.138090E+03
   0.150000E+00   0.195298E+01   0.142914E+03
   0.155000E+00   0.222003E+01   0.147747E+03
   0.160000E+00   0.252322E+01   0.152589E+03
   0.165000E+00   0.288599E+01   0.157442E+03
   0.170000E+00   0.335457E+01   0.162309E+03
   0.175000E+00   0.398627E+01   0.167188E+03
   0.180000E+00   0.481544E+01   0.172092E+03
   0.185000E+00   0.582505E+01   0.177019E+03
   0.190000E+00   0.698008E+01   0.181977E+03
   0.195000E+00   0.824595E+01   0.186965E+03
   0.200000E+00   0.959731E+01   0.191987E+03
   0.205000E+00   0.110173E+02   0.197044E+03
   0.210000E+00   0.124935E+02   0.202137E+03
   0.215000E+00   0.140169E+02   0.207264E+03
   0.220000E+00   0.155814E+02   0.212427E+03
   0.225000E+00   0.171873E+02   0.217642E+03
   0.230000E+00   0.188178E+02   0.222866E+03
   0.235000E+00   0.204813E+02   0.228135E+03
   0.240000E+00   0.221782E+02   0.233458E+03
   0.245000E+00   0.238914E+02   0.238787E+03
   0.250000E+00   0.256335E+02   0.244166E+03
   0.255000E+00   0.273983E+02   0.249579E+03
   0.260000E+00   0.291847E+02   0.255028E+03
   0.265000E+00   0.309919E+02   0.260511E+03
   0.270000E+00   0.328183E+02   0.266028E+03
   0.275000E+00   0.346639E+02   0.271579E+03
   0.280000E+00   0.365276E+02   0.277163E+03
   0.285000E+00   0.384087E+02   0.282781E+03
   0.290000E+00   0.403066E+02   0.288432E+03
   0.295000E+00   0.422210E+02   0.294116E+03
   0.300000E+00   0.441510E+02   0.299833E+03
   0.305000E+00   0.460972E+02   0.305584E+03
   0.310000E+00   0.480615E+02   0.311375E+03
   0.315000E+00   0.500362E+02   0.317188E+03
   0.320000E+00   0.520224E+02   0.323023E+03
   0.325000E+00   0.540251E+02   0.328897E+03
   0.330000E+00   0.560415E+02   0.334803E+03
   0.335000E+00   0.580719E+02   0.340742E+03
   0.340000E+00   0.601179E+02   0.346721E+03
   0.345000E+00   0.620930E+02   0.352721E+03
   0.350000E+00   0.639026E+02   0.358742E+03
   0.355000E+00   0.656694E+02   0.364795E+03
   0.360000E+00   0.674079E+02   0.370851E+03
   0.365000E+00   0.691444E+02   0.376970E+03
   0.370000E+00   0.708679E+02   0.383089E+03
   0.375000E+00   0.725863E+02   0.389228E+03
   0.380000E+00   0.743030E+02   0.395390E+03
   0.385000E+00   0.759339E+02   0.401596E+03
   0.390000E+00   0.774918E+02   0.407797E+03
   0.395000E+00   0.790490E+02   0.414032E+03
   0.400000E+00   0.806048E+02   0.420290E+03
   0.405000E+00   0.821625E+02   0.426548E+03
   0.410000E+00   0.837304E+02   0.432847E+03
   0.415000E+00   0.853033E+02   0.439162E+03
   0.420000E+00   0.868825E+02   0.445486E+03
   0.425000E+00   0.884659E+02   0.451828E+03
   0.430000E+00   0.900635E+02   0.458189E+03
   0.435000E+00   0.916621E+02   0.464579E+03
   0.440000E+00   0.932740E+02   0.470974E+03
   0.445000E+00   0.948934E+02   0.477407E+03
   0.450000E+00   0.965223E+02   0.483849E+03
   0.455000E+00   0.981561E+02   0.490298E+03
   0.460000E+00   0.998020E+02   0.496777E+03
   0.465000E+00   0.101454E+03   0.503265E+03
   0.470000E+00   0.103119E+03   0.509792E+03
   0.475000E+00   0.104784E+03   0.516301E+03
   0.480000E+00   0.106463E+03   0.522857E+03
   0.485000E+00   0.108152E+03   0.529423E+03
   0.490000E+00   0.109848E+03   0.535993E+03
   0.495000E+00   0.111554E+03   0.542613E+03
   0.500000E+00   0.113264E+03   0.549230E+03
   0.505000E+00   0.114986E+03   0.555860E+03
   0.510000E+00   0.116713E+03   0.562492E+03
   0.515000E+00   0.118451E+03   0.569171E+03
   0.520000E+00   0.120201E+03   0.575860E+03
   0.525000E+00   0.121957E+03   0.582568E+03
   0.530000E+00   0.123717E+03   0.589272E+03
   0.535000E+00   0.125490E+03   0.596002E+03
   0.540000E+00   0.127269E+03   0.602750E+03
   0.545000E+00   0.129056E+03   0.609536E+03
   0.550000E+00   0.130852E+03   0.616311E+03
   0.555000E+00   0.132656E+03   0.623111E+03
   0.560000E+00   0.134470E+03   0.629932E+03
   0.565000E+00   0.136291E+03   0.636763E+03
   0.570000E+00   0.138118E+03   0.643605E+03
   0.575000E+00   0.139958E+03   0.650474E+03
   0.580000E+00   0.141799E+03   0.657353E+03
   0.585000E+00   0.143653E+03   0.664256E+03
   0.590000E+00   0.145514E+03   0.671181E+03
   0.595000E+00   0.147381E+03   0.678096E+03
   0.600000E+00   0.149261E+03   0.685044E+03
   0.605000E+00   0.151145E+03   0.692012E+03
   0.610000E+00   0.153035E+03   0.698981E+03
   0.615000E+00   0.154934E+03   0.705964E+03
   0.620000E+00   0.156840E+03   0.712981E+03
