   density  pressure  energy
   0.100000E-01   0.210781E-01   0.942700E+01
   0.200000E-01   0.606066E-01   0.188895E+02
   0.300000E-01   0.103035E+00   0.283740E+02
   0.400000E-01   0.136666E+00   0.378715E+02
   0.500000E-01   0.158775E+00   0.473764E+02
   0.600000E-01   0.174959E+00   0.568851E+02
   0.700000E-01   0.196108E+00   0.663963E+02
   0.800000E-01   0.235515E+00   0.759127E+02
   0.900000E-01   0.306795E+00   0.854353E+02
   0.100000E+00   0.422558E+00   0.949680E+02
   0.110000E+00   0.593774E+00   0.104514E+03
   0.120000E+00   0.825346E+00   0.114079E+03
   0.130000E+00   0.112559E+01   0.123666E+03
   0.140000E+00   0.150202E+01   0.133279E+03
   0.150000E+00   0.196238E+01   0.142923E+03
   0.160000E+00   0.253373E+01   0.152599E+03
   0.170000E+00   0.336295E+01   0.162318E+03
   0.180000E+00   0.481832E+01   0.172102E+03
   0.190000E+00   0.697923E+01   0.181989E+03
   0.200000E+00   0.959396E+01   0.191999E+03
   0.210000E+00   0.124884E+02   0.202149E+03
   0.220000E+00   0.155759E+02   0.212442E+03
   0.230000E+00   0.188113E+02   0.222879E+03
   0.240000E+00   0.221668E+02   0.233458E+03
   0.250000E+00   0.256261E+02   0.244179E+03
   0.260000E+00   0.291775E+02   0.255043E+03
   0.270000E+00   0.328111E+02   0.266043E+03
   0.280000E+00   0.365197E+02   0.277178E+03
   0.290000E+00   0.402995E+02   0.288450E+03
   0.300000E+00   0.441448E+02   0.299853E+03
   0.310000E+00   0.480499E+02   0.311381E+03
   0.320000E+00   0.520150E+02   0.323041E+03
   0.330000E+00   0.560336E+02   0.334820E+03
   0.340000E+00   0.601065E+02   0.346727E+03
   0.350000E+00   0.638300E+02   0.358749E+03
   0.360000E+00   0.671601E+02   0.370866E+03
   0.370000E+00   0.703693E+02   0.383079E+03
   0.380000E+00   0.730965E+02   0.395382E+03
   0.390000E+00   0.754246E+02   0.407736E+03
   0.400000E+00   0.776994E+02   0.420152E+03
   0.410000E+00   0.799599E+02   0.432635E+03
   0.420000E+00   0.822182E+02   0.445155E+03
   0.430000E+00   0.844800E+02   0.457734E+03
   0.440000E+00   0.867542E+02   0.470375E+03
   0.450000E+00   0.890400E+02   0.483055E+03
   0.460000E+00   0.913407E+02   0.495805E+03
   0.470000E+00   0.936604E+02   0.508589E+03
   0.480000E+00   0.959951E+02   0.521427E+03
   0.490000E+00   0.983480E+02   0.534324E+03
   0.500000E+00   0.100714E+03   0.547247E+03
   0.510000E+00   0.103105E+03   0.560238E+03
   0.520000E+00   0.105512E+03   0.573257E+03
   0.530000E+00   0.107943E+03   0.586337E+03
   0.540000E+00   0.110383E+03   0.599469E+03
   0.550000E+00   0.112850E+03   0.612636E+03
   0.560000E+00   0.115331E+03   0.625828E+03
   0.570000E+00   0.117833E+03   0.639107E+03
   0.580000E+00   0.120358E+03   0.652395E+03
   0.590000E+00   0.122904E+03   0.665733E+03
   0.600000E+00   0.125460E+03   0.679126E+03
   0.610000E+00   0.128039E+03   0.692550E+03
   0.620000E+00   0.130645E+03   0.706024E+03
   0.630000E+00   0.133262E+03   0.719559E+03
   0.640000E+00   0.135903E+03   0.733111E+03
   0.650000E+00   0.138556E+03   0.746715E+03
   0.660000E+00   0.141231E+03   0.760344E+03
   0.670000E+00   0.143923E+03   0.774048E+03
   0.680000E+00   0.146625E+03   0.787742E+03
   0.690000E+00   0.149344E+03   0.801511E+03
   0.700000E+00   0.152078E+03   0.815313E+03
   0.710000E+00   0.154827E+03   0.829134E+03
   0.720000E+00   0.157593E+03   0.843061E+03
   0.730000E+00   0.160379E+03   0.856955E+03
   0.740000E+00   0.163168E+03   0.870901E+03
   0.750000E+00   0.165979E+03   0.884909E+03
   0.760000E+00   0.168807E+03   0.898933E+03
   0.770000E+00   0.171647E+03   0.912976E+03
   0.780000E+00   0.174500E+03   0.927088E+03
   0.790000E+00   0.177377E+03   0.941247E+03
   0.800000E+00   0.180249E+03   0.955400E+03
   0.810000E+00   0.183141E+03   0.969637E+03
   0.820000E+00   0.186065E+03   0.983895E+03
   0.830000E+00   0.188979E+03   0.998175E+03
   0.840000E+00   0.191779E+03   0.101248E+04
   0.850000E+00   0.194388E+03   0.102685E+04
   0.860000E+00   0.196925E+03   0.104127E+04
   0.870000E+00   0.199393E+03   0.105563E+04
   0.880000E+00   0.201842E+03   0.107008E+04
   0.890000E+00   0.204252E+03   0.108455E+04
   0.900000E+00   0.206647E+03   0.109904E+04
   0.910000E+00   0.209012E+03   0.111354E+04
   0.920000E+00   0.211384E+03   0.112807E+04
   0.930000E+00   0.213732E+03   0.114271E+04
   0.940000E+00   0.216102E+03   0.115729E+04
   0.950000E+00   0.218421E+03   0.117189E+04
   0.960000E+00   0.220756E+03   0.118654E+04
