   density  pressure  energy
   0.500000E-02   0.716687E-02   0.470745E+01
   0.100000E-01   0.210781E-01   0.942700E+01
   0.150000E-01   0.395103E-01   0.141549E+02
   0.200000E-01   0.606066E-01   0.188895E+02
   0.250000E-01   0.823700E-01   0.236297E+02
   0.300000E-01   0.103035E+00   0.283740E+02
   0.350000E-01   0.121345E+00   0.331216E+02
   0.400000E-01   0.136666E+00   0.378715E+02
   0.450000E-01   0.148974E+00   0.426232E+02
   0.500000E-01   0.158776E+00   0.473764E+02
   0.550000E-01   0.167014E+00   0.521303E+02
   0.600000E-01   0.174960E+00   0.568851E+02
   0.650000E-01   0.184109E+00   0.616404E+02
   0.700000E-01   0.196107E+00   0.663963E+02
   0.750000E-01   0.212675E+00   0.711539E+02
   0.800000E-01   0.235521E+00   0.759127E+02
   0.850000E-01   0.266360E+00   0.806727E+02
   0.900000E-01   0.306817E+00   0.854353E+02
   0.950000E-01   0.358418E+00   0.901989E+02
   0.100000E+00   0.422590E+00   0.949679E+02
   0.105000E+00   0.500666E+00   0.997382E+02
   0.110000E+00   0.593820E+00   0.104514E+03
   0.115000E+00   0.701732E+00   0.109295E+03
   0.120000E+00   0.825397E+00   0.114079E+03
   0.125000E+00   0.966404E+00   0.118869E+03
   0.130000E+00   0.112565E+01   0.123666E+03
   0.135000E+00   0.130386E+01   0.128470E+03
   0.140000E+00   0.150206E+01   0.133279E+03
   0.145000E+00   0.172110E+01   0.138098E+03
   0.150000E+00   0.196258E+01   0.142923E+03
   0.155000E+00   0.223027E+01   0.147755E+03
   0.160000E+00   0.253381E+01   0.152598E+03
   0.165000E+00   0.289619E+01   0.157453E+03
   0.170000E+00   0.336300E+01   0.162318E+03
   0.175000E+00   0.399292E+01   0.167200E+03
   0.180000E+00   0.481835E+01   0.172102E+03
   0.185000E+00   0.582581E+01   0.177030E+03
   0.190000E+00   0.697923E+01   0.181989E+03
   0.195000E+00   0.824370E+01   0.186978E+03
   0.200000E+00   0.959397E+01   0.191999E+03
   0.205000E+00   0.110134E+02   0.197058E+03
   0.210000E+00   0.124884E+02   0.202149E+03
   0.215000E+00   0.140120E+02   0.207279E+03
   0.220000E+00   0.155759E+02   0.212442E+03
   0.225000E+00   0.171768E+02   0.217641E+03
   0.230000E+00   0.188113E+02   0.222879E+03
   0.235000E+00   0.204753E+02   0.228151E+03
   0.240000E+00   0.221667E+02   0.233458E+03
   0.245000E+00   0.238853E+02   0.238803E+03
   0.250000E+00   0.256260E+02   0.244179E+03
   0.255000E+00   0.273910E+02   0.249594E+03
   0.260000E+00   0.291777E+02   0.255043E+03
   0.265000E+00   0.309845E+02   0.260526E+03
   0.270000E+00   0.328109E+02   0.266043E+03
   0.275000E+00   0.346563E+02   0.271594E+03
   0.280000E+00   0.365196E+02   0.277178E+03
