   density  pressure  energy
   0.500000E-02   0.716687E-02   0.470745E+01
   0.100000E-01   0.210781E-01   0.942700E+01
   0.150000E-01   0.395103E-01   0.141549E+02
   0.200000E-01   0.606066E-01   0.188895E+02
   0.250000E-01   0.823700E-01   0.236297E+02
   0.300000E-01   0.103035E+00   0.283740E+02
   0.350000E-01   0.121345E+00   0.331216E+02
   0.400000E-01   0.136666E+00   0.378715E+02
   0.450000E-01   0.148974E+00   0.426232E+02
   0.500000E-01   0.158776E+00   0.473764E+02
   0.550000E-01   0.167014E+00   0.521303E+02
   0.600000E-01   0.174960E+00   0.568851E+02
   0.650000E-01   0.184109E+00   0.616404E+02
   0.700000E-01   0.196107E+00   0.663963E+02
   0.750000E-01   0.212675E+00   0.711539E+02
   0.800000E-01   0.235521E+00   0.759127E+02
   0.850000E-01   0.266360E+00   0.806727E+02
   0.900000E-01   0.306817E+00   0.854353E+02
   0.950000E-01   0.358418E+00   0.901989E+02
   0.100000E+00   0.422590E+00   0.949679E+02
   0.105000E+00   0.500666E+00   0.997382E+02
   0.110000E+00   0.593820E+00   0.104514E+03
   0.115000E+00   0.701750E+00   0.109295E+03
   0.120000E+00   0.825394E+00   0.114079E+03
   0.125000E+00   0.966395E+00   0.118869E+03
   0.130000E+00   0.112562E+01   0.123666E+03
   0.135000E+00   0.130378E+01   0.128471E+03
   0.140000E+00   0.150172E+01   0.133279E+03
   0.145000E+00   0.171997E+01   0.138098E+03
   0.150000E+00   0.195898E+01   0.142921E+03
   0.155000E+00   0.221947E+01   0.147757E+03
   0.160000E+00   0.250168E+01   0.152599E+03
   0.165000E+00   0.280648E+01   0.157451E+03
   0.170000E+00   0.313392E+01   0.162312E+03
   0.175000E+00   0.348478E+01   0.167183E+03
   0.180000E+00   0.385934E+01   0.172065E+03
   0.185000E+00   0.425789E+01   0.176955E+03
   0.190000E+00   0.468124E+01   0.181860E+03
   0.195000E+00   0.512942E+01   0.186774E+03
   0.200000E+00   0.560293E+01   0.191701E+03
   0.205000E+00   0.610215E+01   0.196639E+03
   0.210000E+00   0.662774E+01   0.201592E+03
   0.215000E+00   0.717939E+01   0.206554E+03
   0.220000E+00   0.775829E+01   0.211533E+03
   0.225000E+00   0.836402E+01   0.216522E+03
   0.230000E+00   0.899710E+01   0.221526E+03
   0.235000E+00   0.965810E+01   0.226545E+03
   0.240000E+00   0.103472E+02   0.231579E+03
   0.245000E+00   0.110641E+02   0.236624E+03
   0.250000E+00   0.118098E+02   0.241688E+03
   0.255000E+00   0.125842E+02   0.246767E+03
   0.260000E+00   0.133866E+02   0.251857E+03
   0.265000E+00   0.142184E+02   0.256966E+03
   0.270000E+00   0.150796E+02   0.262093E+03
   0.275000E+00   0.159694E+02   0.267234E+03
   0.280000E+00   0.168886E+02   0.272393E+03
